z, G_{gg}, G_{gg}Err, G_{qq}, G_{qq}Err, Q_{gq}, Q_{gq}Err
0.1293, 0.0614098, 6.53809e-10, 0.0469351, 1.69148e-09, 0.0600464, -7.09281e-11, 
0.153116, 0.0617188, 1.52447e-09, 0.0479187, 2.50617e-09, 0.059929, -1.67292e-10, 
0.181318, 0.0621023, 1.34359e-09, 0.0492101, 5.70682e-09, 0.0597651, -1.50944e-10, 
0.214715, 0.062567, 1.86337e-09, 0.0508811, 5.63298e-09, 0.0595352, -2.13407e-10, 
0.254264, 0.0631107, 2.69519e-08, 0.0529892, 8.51756e-09, 0.0592109, 2.35505e-08, 
0.301097, 0.0637126, 2.62947e-08, 0.0555275, 1.29986e-08, 0.0587505, 2.15909e-08, 
0.356556, 0.0643184, 2.35981e-08, 0.0583177, 1.98397e-08, 0.0580923, 1.91711e-08, 
0.42223, 0.0648203, 2.27349e-08, 0.0608256, 1.15334e-13, 0.0571451, 1.60366e-08, 
0.5, 0.0650394, 2.23676e-08, 0.0619806, 1.25686e-13, 0.0557756, 1.22008e-08, 
0.57777, 0.0648203, 2.27349e-08, 0.0608256, 1.15334e-13, 0.054132, 8.30211e-09, 
0.643444, 0.0643184, 2.35981e-08, 0.0583177, 1.98397e-08, 0.05254, 7.89976e-09, 
0.698903, 0.0637126, 2.62947e-08, 0.0555275, 1.29986e-08, 0.0510704, 5.87475e-09, 
0.745736, 0.0631107, 2.69519e-08, 0.0529892, 8.51756e-09, 0.0497636, 5.11962e-09, 
0.785285, 0.062567, 1.86337e-09, 0.0508811, 5.63298e-09, 0.0486359, 4.14165e-13, 
0.818682, 0.0621023, 1.34359e-09, 0.0492101, 5.70682e-09, 0.0476861, 2.30295e-09, 
0.846884, 0.0617188, 1.52447e-09, 0.0479187, 2.50617e-09, 0.0469018, 1.66781e-09, 
0.8707, 0.0614098, 6.53809e-10, 0.0469351, 1.69148e-09, 0.0462646, 1.30965e-09, 
0.890811, 0.061165, 4.43782e-10, 0.046192, 1.3088e-09, 0.0457539, 1.56255e-09, 
0.907795, 0.0609734, 3.32245e-10, 0.0456334, 1.54376e-09, 0.0453491, 7.2863e-10, 
0.922136, 0.0608248, 3.91177e-10, 0.0452149, 5.46354e-10, 0.0450314, 4.46855e-10, 
0.934247, 0.0607105, 2.0318e-10, 0.044902, 3.7957e-10, 0.0447841, 3.35382e-10, 
0.944475, 0.0606229, 1.09458e-10, 0.0446683, 3.41455e-10, 0.0445928, 3.80947e-10, 
0.953111, 0.0605563, 8.31568e-11, 0.044494, 3.39859e-10, 0.0444459, 1.80914e-10, 
0.960404, 0.0605057, 9.81763e-11, 0.0443641, 1.29625e-10, 0.0443335, 1.17224e-10, 
0.966563, 0.0604675, 4.99058e-11, 0.0442674, 9.16623e-11, 0.044248, 8.59958e-11, 
0.971764, 0.0604387, 2.77263e-11, 0.0441955, 8.72634e-11, 0.0441832, 9.23728e-11, 
0.976156, 0.0604171, 2.10105e-11, 0.044142, 7.99433e-11, 0.0441342, 5.97541e-11, 
0.979864, 0.0604008, 2.45233e-11, 0.0441023, 3.21157e-11, 0.0440974, 3.05317e-11, 
0.982996, 0.0603887, 1.09082e-11, 0.0440728, 2.28888e-11, 0.0440697, 2.21177e-11, 
0.985641, 0.0603796, 3.19925e-11, 0.0440509, 2.18285e-11, 0.044049, 2.24409e-11, 
0.987875, 0.0603728, 2.30685e-11, 0.0440347, 2.05038e-11, 0.0440335, 1.82419e-11, 
0.989761, 0.0603678, 6.18947e-12, 0.0440228, 8.15744e-12, 0.044022, 7.95263e-12, 
0.991353, 0.0603641, 1.17362e-11, 0.0440139, 2.61517e-11, 0.0440134, 2.56086e-11, 
0.992698, 0.0603613, 8.36094e-12, 0.0440073, 5.42848e-12, 0.044007, 5.49625e-12, 
0.993834, 0.0603592, 6.05603e-12, 0.0440025, 5.47113e-12, 0.0440023, 5.2414e-12, 
0.994793, 0.0603577, 4.89055e-12, 0.0439989, 9.43312e-12, 0.0439988, 9.31161e-12, 
0.995603, 0.0603566, 3.29598e-12, 0.0439963, 6.73117e-12, 0.0439962, 6.6594e-12, 
0.996287, 0.0603558, 2.2992e-12, 0.0439944, 5.07888e-12, 0.0439943, 5.05167e-12, 
0.996864, 0.0603552, 1.70202e-12, 0.0439929, 4.1241e-12, 0.0439929, 4.08271e-12, 
0.997352, 0.0603547, 1.38554e-12, 0.0439919, 2.46178e-12, 0.0439919, 2.44562e-12, 
0.997764, 0.0603544, 1.03483e-12, 0.0439911, 1.76812e-12, 0.0439911, 1.75838e-12, 
0.998112, 0.0603541, 7.38368e-13, 0.0439906, 1.33026e-12, 0.0439905, 1.32593e-12, 
0.998405, 0.060354, 5.83487e-13, 0.0439901, 1.10351e-12, 0.0439901, 1.09944e-12, 
0.998653, 0.0603538, 4.97262e-13, 0.0439898, 6.77981e-13, 0.0439898, 7.03044e-13, 
0.998863, 0.0603537, 4.20935e-13, 0.0439896, 4.9215e-13, 0.0439896, 4.9104e-13, 
0.99904, 0.0603537, 3.35383e-13, 0.0439894, 3.75969e-13, 0.0439894, 3.75711e-13, 
0.999189, 0.0603536, 2.95152e-13, 0.0439893, 3.20641e-13, 0.0439893, 3.19847e-13, 
0.999315, 0.0603536, 2.71961e-13, 0.0439892, 2.80813e-13, 0.0439892, 2.82836e-13, 
0.999422, 0.0603535, 2.55456e-13, 0.0439892, 1.63379e-13, 0.0439892, 1.63184e-13, 
0.999512, 0.0603535, 2.31272e-13, 0.0439891, 1.3266e-13, 0.0439891, 1.32625e-13, 
0.999588, 0.0603535, 2.20851e-13, 0.0439891, 1.18394e-13, 0.0439891, 1.18534e-13, 
0.999652, 0.0603535, 2.14593e-13, 0.0439891, 9.89669e-14, 0.0439891, 9.8912e-14, 
0.999706, 0.0603535, 2.11021e-13, 0.0439891, 7.87255e-14, 0.0439891, 7.87001e-14, 
0.999752, 0.0603535, 2.04456e-13, 0.043989, 7.03725e-14, 0.043989, 7.04196e-14, 
0.99979, 0.0603535, 2.01707e-13, 0.043989, 6.66788e-14, 0.043989, 6.59856e-14, 
0.999823, 0.0603535, 1.99992e-13, 0.043989, 6.05346e-14, 0.043989, 6.04582e-14, 
0.99985, 0.0603535, 1.99207e-13, 0.043989, 5.64131e-14, 0.043989, 5.64728e-14, 
0.999874, 0.0603535, 1.9971e-13, 0.043989, 5.42702e-14, 0.043989, 5.43726e-14, 
0.999893, 0.0603535, 1.9682e-13, 0.043989, 5.32418e-14, 0.043989, 5.34332e-14, 
0.99991, 0.0603535, 1.96447e-13, 0.043989, 5.15293e-14, 0.043989, 5.19165e-14, 
0.999924, 0.0603535, 1.96226e-13, 0.043989, 5.08638e-14, 0.043989, 5.08436e-14, 
0.999936, 0.0603535, 1.95877e-13, 0.043989, 5.07013e-14, 0.043989, 5.04974e-14, 
0.999946, 0.0603535, 1.9571e-13, 0.043989, 4.98805e-14, 0.043989, 5.00483e-14, 
0.999954, 0.0603535, 1.95435e-13, 0.043989, 4.97116e-14, 0.043989, 4.95862e-14, 
0.999961, 0.0603535, 1.95375e-13, 0.043989, 4.96845e-14, 0.043989, 4.96936e-14, 
0.999967, 0.0603535, 1.95289e-13, 0.043989, 4.93715e-14, 0.043989, 4.92966e-14, 
0.999972, 0.0603535, 1.9525e-13, 0.043989, 4.92089e-14, 0.043989, 4.90808e-14, 
0.999977, 0.0603535, 1.95297e-13, 0.043989, 4.91239e-14, 0.043989, 4.89933e-14, 
0.99998, 0.0603535, 1.9513e-13, 0.043989, 4.89932e-14, 0.043989, 4.89568e-14, 
0.999983, 0.0603535, 1.95214e-13, 0.043989, 4.90282e-14, 0.043989, 4.91216e-14, 
0.999986, 0.0603535, 1.9527e-13, 0.043989, 4.91242e-14, 0.043989, 4.9282e-14, 
0.999988, 0.0603535, 1.95102e-13, 0.043989, 4.89415e-14, 0.043989, 4.87951e-14, 
