z, G_{gg}, G_{gg}Err, G_{qq}, G_{qq}Err, Q_{gq}, Q_{gq}Err
0.1293, 0.0535536, 1.1445e-09, 0.0411017, 2.5223e-09, 0.0523881, 6.15651e-11, 
0.153116, 0.0538174, 1.73389e-09, 0.0419464, 3.50606e-09, 0.052287, 1.05078e-10, 
0.181318, 0.0541449, 1.69851e-09, 0.0430563, 4.27923e-09, 0.0521459, 2.28568e-11, 
0.214715, 0.0545418, 2.33163e-08, 0.044494, 5.41659e-09, 0.051948, 2.19344e-08, 
0.254264, 0.0550064, 2.23832e-08, 0.0463099, 8.03533e-09, 0.0516686, 2.05037e-08, 
0.301097, 0.0555208, 2.25217e-08, 0.0484993, 1.20657e-08, 0.051272, 1.87265e-08, 
0.356556, 0.0560386, 2.05489e-08, 0.0509093, 1.7631e-08, 0.0507047, 1.69422e-08, 
0.42223, 0.0564677, 1.98628e-08, 0.0530783, 2.13534e-10, 0.0498882, 1.43481e-08, 
0.5, 0.0566551, 1.99424e-08, 0.0540781, 5.97936e-10, 0.0487078, 1.07046e-08, 
0.57777, 0.0564677, 1.98628e-08, 0.0530783, 2.13534e-10, 0.0472915, 7.41669e-09, 
0.643444, 0.0560386, 2.05489e-08, 0.0509093, 1.7631e-08, 0.0459204, 7.36857e-09, 
0.698903, 0.0555208, 2.25217e-08, 0.0484993, 1.20657e-08, 0.0446554, 5.83702e-09, 
0.745736, 0.0550064, 2.23832e-08, 0.0463099, 8.03533e-09, 0.0435314, 4.85693e-09, 
0.785285, 0.0545418, 2.33163e-08, 0.044494, 5.41659e-09, 0.0425621, 4.81885e-09, 
0.818682, 0.0541449, 1.69851e-09, 0.0430563, 4.27923e-09, 0.0417462, 2.95872e-09, 
0.846884, 0.0538174, 1.73389e-09, 0.0419464, 3.50606e-09, 0.0410729, 1.99246e-09, 
0.8707, 0.0535536, 1.1445e-09, 0.0411017, 2.5223e-09, 0.0405262, 1.62081e-09, 
0.890811, 0.0533445, 6.98186e-10, 0.040464, 1.8878e-09, 0.0400882, 1.53087e-09, 
0.907795, 0.053181, 3.95439e-10, 0.039985, 2.30336e-09, 0.0397412, 1.96092e-09, 
0.922136, 0.0530542, 5.08777e-10, 0.0396263, 1.34943e-09, 0.039469, 9.30169e-10, 
0.934247, 0.0529566, 5.80472e-10, 0.0393581, 5.53831e-10, 0.0392571, 8.82852e-10, 
0.944475, 0.0528819, 3.02783e-10, 0.039158, 8.285e-10, 0.0390933, 3.88643e-10, 
0.953111, 0.052825, 3.95951e-10, 0.0390088, 7.37436e-10, 0.0389675, 7.91991e-10, 
0.960404, 0.0527818, 4.9196e-10, 0.0388976, 7.57896e-10, 0.0388713, 6.31532e-10, 
0.966563, 0.0527492, 1.5811e-10, 0.0388148, 5.46527e-10, 0.0387982, 6.32629e-10, 
0.971764, 0.0527247, 4.92439e-10, 0.0387533, 2.8988e-10, 0.0387427, 1.0884e-09, 
0.976156, 0.0527062, 2.29844e-10, 0.0387075, 2.83317e-10, 0.0387009, 8.89921e-10, 
0.979864, 0.0526923, 1.78027e-10, 0.0386736, 8.53317e-10, 0.0386693, 5.5463e-11, 
0.982996, 0.052682, 4.02827e-10, 0.0386483, 9.75374e-10, 0.0386457, 3.41058e-10, 
0.985641, 0.0526742, 3.39103e-10, 0.0386297, 1.04037e-09, 0.038628, 5.31582e-10, 
0.987875, 0.0526685, 2.17607e-10, 0.0386158, 8.85805e-10, 0.0386148, 5.26929e-10, 
0.989761, 0.0526642, 2.05565e-10, 0.0386056, 8.3778e-10, 0.0386049, 6.13689e-10, 
0.991353, 0.052661, 1.37192e-10, 0.038598, 6.83556e-10, 0.0385976, 6.1427e-10, 
0.992698, 0.0526586, 3.77502e-10, 0.0385924, 4.8437e-10, 0.0385921, 6.67295e-10, 
0.993834, 0.0526569, 3.48313e-10, 0.0385882, 2.77688e-10, 0.0385881, 5.54262e-10, 
0.994793, 0.0526556, 3.32483e-10, 0.0385852, 1.41111e-10, 0.0385851, 5.60186e-10, 
0.995603, 0.0526546, 3.67894e-10, 0.0385829, -1.6964e-12, 0.0385829, 6.02314e-10, 
0.996287, 0.0526539, 3.96837e-10, 0.0385813, 1.07128e-10, 0.0385813, 5.13245e-10, 
