#g=2 TStar=1 mDSqr=6 mQSqr=0.666666666666667 qHatBar=3.81971863420549
10 0.001 0.109755662346645 0.109755234001135 0.0803569222512247
10 0.00110367395430528 0.109755420188953 0.109754905732326 0.0803567089630065
10 0.00121809619741186 0.109755123806968 0.109754506050847 0.0803564458066877
10 0.00134438104692178 0.109754761071405 0.109754019425639 0.0803561211660307
10 0.00148375834614923 0.109754317147676 0.109753426954078 0.0803557207236898
10 0.00163758544112799 0.109753773887014 0.109752705624516 0.0803552268384224
10 0.00180736039932249 0.109753109096063 0.109751827432666 0.080354617778649
10 0.00199473659877503 0.10975229563041 0.109750758293209 0.0803538667691039
10 0.00220153882976751 0.10975130030375 0.109749456732806 0.0803529408345008
10 0.00242978106580613 0.10975008254003 0.109747872285774 0.0803517993591245
10 0.00268168607699435 0.109748592748034 0.109745943564662 0.0803503923366021
10 0.00295970707680178 0.109746770321273 0.109743595900203 0.0803486581992984
10 0.00326655161303915 0.10974454122352 0.109740738501212 0.0803465211768448
10 0.00360520793570522 0.109741815030234 0.109737260993564 0.0803438880350053
10 0.00397897409849257 0.10973848135742 0.109733029256808 0.0803406441050383
10 0.00439149007736159 0.109734405506437 0.109727880372403 0.0803366484148542
10 0.00484677321897408 0.109729423214938 0.109721616557407 0.0803317293105276
10 0.00534925736420607 0.109723334292119 0.109713997843128 0.0803256732375494
10 0.00590383602774996 0.109715894973485 0.109704733314488 0.0803182179528211
10 0.0065159100543168 0.109706808719611 0.10969347061238 0.0803090438372087
10 0.00719144021554537 0.109695716324568 0.109679784543099 0.0802977597489681
10 0.00793700525984099 0.109682180529567 0.109663159964928 0.0802838877649899
10 0.00875986598047054 0.109665670029236 0.109642973823386 0.0802668452273552
10 0.00966803592585025 0.109645545029511 0.109618478468303 0.0802453570869333
10 0.0106703594406487 0.109621034121945 0.109588776007281 0.0802197364623086
10 0.0117765977977194 0.109591209934456 0.109552791149855 0.0801883386328415
10 0.0129975242596719 0.109554961658596 0.109509240640221 0.0801499147892154
10 0.0143450289958509 0.109510972116799 0.109456608352304 0.080102971288364
10 0.0158322348764747 0.109456948585806 0.109392367266318 0.0800458190804218
10 0.0174736252716089 0.109392514472851 0.109315874830469 0.0799761913460005
10 0.0192851850995653 0.109314726608333 0.109223881512438 0.0798917272079229
10 0.0212845564983466 0.109221058284978 0.109113511003421 0.0797895944540412
10 0.0234912106361644 0.109108600886178 0.108981457469374 0.0796665589276948
10 0.0259266373342338 0.108974041855035 0.108823960062225 0.0795189695628521
10 0.0286145543485128 0.108813656585261 0.108636789542374 0.0793427828594539
10 0.0315811383485066 0.108623316240048 0.108415252211204 0.0791335917771663
10 0.0348552798425585 0.108398516483274 0.108154215778116 0.07888668397412
10 0.0384688645322537 0.108134053155919 0.107847775629859 0.0785967680447222
10 0.0424570838359467 0.107825640545737 0.107490874483571 0.0782596257362071
10 0.0468587776054902 0.107467725400627 0.107077097359872 0.0778699625570339
10 0.0517168123737632 0.107055161222734 0.106600353037424 0.0774230907546608
10 0.0570784988166157 0.106583014348994 0.106054643424275 0.0769147851043361
10 0.0629960524947436 0.106047509768886 0.105435010302402 0.0763413325174369
10 0.0695271023624969 0.10544313523153 0.104734641974839 0.0757000202497963
10 0.0767352519958052 0.104767530960346 0.103949652109022 0.0749889308816316
10 0.0846906990048226 0.104018530574477 0.103076194388737 0.0742072381718269
10 0.093470918663531 0.103195203736327 0.102111400869554 0.0733553773054669
10 0.103161418413927 0.102297420353366 0.101052876932071 0.0724344910187039
10 0.11385657059264 0.101328312180567 0.0999012456465568 0.0714488189611384
10 0.125660531489618 0.100290444370386 0.0986560231547207 0.0704019078879913
10 0.13868825568925 0.0991883541732149 0.0973182189923479 0.0692995852789113
10 0.153066615572257 0.0980308759193684 0.0958926402677931 0.0681498018309939
10 0.16893563688076 0.0968257789690785 0.0943821855280053 0.0669612455383868
10 0.186449862379269 0.0955842452539297 0.0927923427615535 0.0657446729989939
10 0.205779856891804 0.0943201052728899 0.0911301989467405 0.0645126887229572
10 0.227113868372152 0.0930490841567336 0.0894035363812117 0.0632803715675191
10 0.250659661183863 0.0917900210732587 0.0876215213210707 0.0620646985841127
10 0.276646539443617 0.0905650431079593 0.0857948867832162 0.0608864224334915
10 0.305327580132609 0.0894007745091827 0.0839363117276572 0.0597697319274525
10 0.336982097723419 0.0883291250453272 0.0820611010529223 0.0587445157447362
10 0.371918364324496 0.0873890229136186 0.0801878122758396 0.0578466831036777
10 0.410476611832769 0.0866291051030841 0.078339946263558 0.057121837192228
10 0.453032345331307 0.0861111380394902 0.0765484866023916 0.0566281840743291
10 0.5 0.085916237275011 0.0748563460769995 0.0564425557342908
10 0.5 0.085916237275011 0.0748563460769959 0.0564425557342908
10 0.546967654668693 0.0861111380394902 0.0734541382762741 0.0566281840743291
10 0.589523388167231 0.0866291051030841 0.0724353293654398 0.057121837192228
10 0.628081635675504 0.0873890229136186 0.0717273465121021 0.0578466831036777
10 0.663017902276581 0.0883291250453272 0.071274690290455 0.0587445157447362
10 0.694672419867391 0.0894007745091827 0.071033292461471 0.0597697319274525
10 0.723353460556383 0.0905650431079593 0.0709670071937743 0.0608864224334915
10 0.749340338816137 0.0917900210732587 0.0710463572770355 0.0620646985841127
10 0.772886131627847 0.0930490841567336 0.0712452423088618 0.0632803715675191
10 0.794220143108196 0.0943201052728899 0.0715418568485526 0.0645126887229572
10 0.813550137620731 0.0955842452539297 0.0719160381850512 0.0657446729989939
10 0.83106436311924 0.0968257789690785 0.0723508521989393 0.0669612455383868
