#g=1.66238255314473 TStar=1 mDSqr=4.1452736295 mQSqr=0.460585958833333 qHatBar=1.82320406220216
10 0.001 0.0603526731719662 0.0603524324841272 0.0439882969506961
10 0.00110367395430528 0.0603524962259381 0.060352207213805 0.043988134109089
10 0.00121809619741186 0.0603522799054569 0.0603519329207923 0.0439879338652332
10 0.00134438104692178 0.0603520154562096 0.0603515989410656 0.043987687641938
10 0.00148375834614923 0.0603516921822879 0.0603511922950255 0.043987384900149
10 0.00163758544112799 0.0603512970130508 0.0603506971821578 0.0439870126869518
10 0.00180736039932249 0.0603508139816899 0.0603500943737187 0.0439865550884283
10 0.00199473659877503 0.0603502235816547 0.0603493604671288 0.0439859925498113
10 0.00220153882976751 0.0603495019903288 0.0603484669885041 0.0439853010504399
10 0.00242978106580613 0.060348620114356 0.0603473792943377 0.0439844510825151
10 0.00268168607699435 0.0603475424367634 0.0603460552484483 0.0439834064098657
10 0.00295970707680178 0.0603462256044415 0.0603444436081405 0.0439821225374186
10 0.00326655161303915 0.0603446167221506 0.0603424820804705 0.0439805448502679
10 0.00360520793570522 0.0603426512707895 0.0603400949601457 0.0439786063288532
10 0.00397897409849257 0.0603402505958893 0.0603371902881668 0.0439762254735993
10 0.00439149007736159 0.060337318857702 0.0603336564147595 0.0439733014402634
10 0.00484677321897408 0.0603337393614669 0.0603293578763806 0.0439697097814685
10 0.00534925736420607 0.0603293701286741 0.0603241304383324 0.0439652994462571
10 0.00590383602774996 0.0603240390371809 0.0603177756206676 0.0439598857500932
10 0.0065159100543168 0.0603175369575553 0.060310053123207 0.0439532431679891
10 0.00719144021554537 0.0603096086266057 0.0603006708823759 0.0439450967425016
10 0.00793700525984099 0.0602999467696697 0.060289278258581 0.0439351119175684
10 0.00875986598047054 0.0602881802890786 0.0602754531648904 0.0439228826238661
10 0.00966803592585025 0.0602738621031877 0.0602586887146935 0.0439079174392647
10 0.0106703594406487 0.0602564551794496 0.060238377929839 0.0438896238861081
10 0.0117765977977194 0.0602353167281755 0.0602137964787803 0.0438672908402922
10 0.0129975242596719 0.0602096806268415 0.0601840835249823 0.0438400691273255
10 0.0143450289958509 0.0601786383316012 0.0601482209659506 0.0438069512191799
10 0.0158322348764747 0.0601411187504075 0.060105011562033 0.0437667506731407
10 0.0174736252716089 0.0600958680148155 0.0600530568293818 0.0437180826984367
10 0.0192851850995653 0.0600414300665919 0.0599907359175918 0.0436593476948375
10 0.0212845564983466 0.059976130016555 0.0599161871414428 0.0435887200683114
10 0.0234912106361644 0.0598980621936539 0.0598272942809252 0.0435041450435199
10 0.0259266373342338 0.0598050854034959 0.0597216801200433 0.0434033463634024
10 0.0286145543485128 0.0596948281172795 0.0595967098937559 0.0432838476072649
10 0.0315811383485066 0.0595647063188784 0.0594495072681977 0.043143009267501
10 0.0348552798425585 0.05941195638012 0.0592769850558405 0.0429780826488852
10 0.0384688645322537 0.0592336846037681 0.0590758920839391 0.0427862801998624
10 0.0424570838359467 0.0590269339451582 0.0588428764355885 0.042564860174827
10 0.0468587776054902 0.058788767003521 0.0585745638446138 0.0423112218892718
10 0.0517168123737632 0.0585163628571765 0.0582676484667548 0.042023006518781
10 0.0570784988166157 0.0582071238953003 0.057918991845886 0.0416981976832173
10 0.0629960524947436 0.0578587877504058 0.0575257248340103 0.0413352161018761
10 0.0695271023624969 0.0574695389270322 0.0570853467363313 0.0409330033964396
10 0.0767352519958052 0.0570381148784721 0.0565958160853218 0.0404910915399601
10 0.0846906990048226 0.0565639020865382 0.0560556282198965 0.0400096562716187
10 0.093470918663531 0.0560470190671874 0.0554638761272382 0.0394895547565088
10 0.103161418413927 0.0554883849758332 0.0548202926297574 0.0389323496606449
10 0.11385657059264 0.0548897744481724 0.054125273767547 0.0383403234516213
10 0.125660531489618 0.0542538613004341 0.0533798849683278 0.0377164880926188
10 0.13868825568925 0.0535842556494127 0.052585853192426 0.0370645963770974
10 0.153066615572257 0.0528855408548798 0.0517455496540458 0.0363891620837557
10 0.16893563688076 0.0521633185249468 0.0508619689892492 0.0356954970825105
10 0.186449862379269 0.0514242718472507 0.0499387120214215 0.0349897747526183
10 0.205779856891804 0.0506762600266729 0.0489799807960683 0.034279130902282
10 0.227113868372152 0.0499284601313339 0.047990596722235 0.0335718162751198
10 0.250659661183863 0.049191577935569 0.0469760560729059 0.0328774193738209
10 0.276646539443617 0.0484781576434025 0.0459426427668058 0.0322071858272369
10 0.305327580132609 0.047803033763559 0.0448976279945306 0.0315744727449018
10 0.336982097723419 0.0471839904972932 0.04384960295887 0.0309953967588745
10 0.371918364324496 0.0466427314655823 0.0428090206472585 0.0304897689241432
10 0.410476611832769 0.0462063280572453 0.0417890767495571 0.0300824702972177
10 0.453032345331307 0.0459094333203512 0.0408071628402619 0.0298055331526305
10 0.5 0.0457977725273508 0.0398873301549973 0.0297014064936209
10 0.5 0.0457977725273508 0.0398873301550028 0.0297014064936209
10 0.546967654668693 0.0459094333203512 0.0391333561788428 0.0298055331526305
10 0.589523388167231 0.0462063280572453 0.0385937445077241 0.0300824702972177
10 0.628081635675504 0.0466427314655823 0.0382273751569775 0.0304897689241432
10 0.663017902276581 0.0471839904972932 0.038003107982164 0.0309953967588745
10 0.694672419867391 0.047803033763559 0.0378965013120667 0.0315744727449018
10 0.723353460556383 0.0484781576434025 0.0378877569395345 0.0322071858272369
10 0.749340338816137 0.049191577935569 0.0379603921517258 0.0328774193738209
10 0.772886131627847 0.0499284601313339 0.0381003601124171 0.0335718162751198
