# Parameter : G->QQ gs = 1.66238 P = 300 T = 1 z = 0.25 mDSqr= 4.14527 Qs^2 = 10.288 q0= 0.777193 q3= 1.88165 muSqr= 0.444905
 t Sum LODeriv NLODeriv NLODeriv2 LOSpect NLOSpect NLOSpect2 
0.0551111 0.00515398 0.00145821 0.00307056 0.00369577 0.00233414 0.0109457 0.00892515
0.056 0.00534667 0.00152361 0.00307615 0.00382305 0.00248322 0.0112528 0.00929472
0.0568889 0.00560036 0.00159045 0.00307927 0.00400991 0.00263891 0.0115604 0.00967703
0.0577778 0.00562453 0.00165869 0.00307993 0.00396584 0.00280135 0.0118683 0.010078
0.0586667 0.00587973 0.00172831 0.00307814 0.00415142 0.00297069 0.0121763 0.0104746
0.0595556 0.00597236 0.00179926 0.00307392 0.0041731 0.00314706 0.0124841 0.0108897
0.0604444 0.00622257 0.0018715 0.00306729 0.00435107 0.00333059 0.0127915 0.0113071
0.0613333 0.00642554 0.00194499 0.00305827 0.00448055 0.0035214 0.0130983 0.0117422
0.0622222 0.00641941 0.00201968 0.00304692 0.00439973 0.00371963 0.0134041 0.0121902
0.0631111 0.00668894 0.00209551 0.00303328 0.00459343 0.00392538 0.0137088 0.0126302
0.064 0.00689159 0.00217245 0.00301739 0.00471914 0.00413877 0.0140121 0.0130895
0.0648889 0.00699469 0.00225043 0.00299932 0.00474427 0.0043599 0.0143138 0.0135614
0.0657778 0.00715927 0.00232939 0.00297913 0.00482988 0.00458888 0.0146138 0.0140359
0.0666667 0.00741042 0.00240927 0.0029569 0.00500115 0.00482581 0.0149117 0.0145189
0.0675556 0.00753826 0.00249002 0.00293271 0.00504824 0.00507077 0.0152074 0.015019
0.0684444 0.00762643 0.00257156 0.00290665 0.00505487 0.00532384 0.0155006 0.0155238
0.0693333 0.00790795 0.00265384 0.0028788 0.00525412 0.0055851 0.0157913 0.0160293
0.0702222 0.00797269 0.00273677 0.00284926 0.00523592 0.00585463 0.0160792 0.0165547
0.0711111 0.00821936 0.0028203 0.00281813 0.00539906 0.00613248 0.0163641 0.0170783
0.072 0.00828642 0.00290435 0.00278552 0.00538206 0.00641871 0.0166459 0.0176182
0.0728889 0.0084675 0.00298885 0.00275153 0.00547865 0.00671336 0.0169245 0.0181564
0.0737778 0.00846916 0.00307372 0.00271629 0.00539544 0.00701649 0.0171996 0.0187043
0.0746667 0.0088198 0.0031589 0.00267989 0.0056609 0.00732812 0.0174713 0.0192438
0.0755556 0.00894736 0.0032443 0.00264247 0.00570306 0.00764828 0.0177392 0.0198099
0.0764444 0.00899713 0.00332985 0.00260414 0.00566728 0.00797698 0.0180035 0.0203802
0.0773333 0.00912554 0.00341548 0.00256502 0.00571007 0.00831425 0.0182639 0.0209469
0.0782222 0.00939529 0.0035011 0.00252524 0.00589419 0.00866008 0.0185204 0.0215179
0.0791111 0.00947531 0.00358664 0.0024849 0.00588867 0.00901447 0.0187729 0.0221074
0.08 0.00954892 0.00367204 0.00244414 0.00587688 0.0093774 0.0190214 0.0226962
0.0808889 0.00969485 0.00375721 0.00240307 0.00593765 0.00974887 0.0192658 0.0232839
0.0817778 0.00987837 0.00384207 0.0023618 0.0060363 0.0101288 0.0195061 0.0238777
0.0826667 0.00995297 0.00392657 0.00232046 0.00602641 0.0105173 0.0197423 0.0244813
0.0835556 0.0100137 0.00401061 0.00227915 0.00600313 0.0109141 0.0199744 0.025084
0.0844444 0.0102161 0.00409415 0.00223799 0.00612198 0.0113194 0.0202023 0.0256843
0.0853333 0.0103336 0.0041771 0.00219708 0.00615654 0.0117329 0.0204261 0.0262965
0.0862222 0.0103835 0.00425939 0.00215652 0.00612415 0.0121548 0.0206458 0.0269121
0.0871111 0.0104114 0.00434098 0.0021164 0.00607044 0.0125848 0.0208614 0.0275245
0.088 0.0105825 0.00442178 0.00207683 0.00616076 0.0130229 0.0210731 0.0281316
0.0888889 0.0106594 0.00450175 0.00203788 0.00615767 0.0134691 0.0212808 0.0287477
0.0897778 0.010751 0.00458081 0.00199964 0.00617021 0.0139233 0.0214846 0.0293634
0.0906667 0.0108166 0.00465892 0.00196219 0.0061577 0.0143853 0.0216845 0.0299804
0.0915556 0.0109614 0.00473603 0.0019256 0.00622535 0.014855 0.0218807 0.0305962
0.0924444 0.0109691 0.00481207 0.00188993 0.00615706 0.0153324 0.0220733 0.0312187
0.0933333 0.0110666 0.00488701 0.00185524 0.00617962 0.0158174 0.0222623 0.0318345
0.0942222 0.011128 0.0049608 0.0018216 0.00616724 0.0163098 0.0224478 0.0324524
0.0951111 0.0111976 0.00503339 0.00178903 0.00616419 0.0168095 0.02263 0.0330691
0.096 0.0111764 0.00510474 0.0017576 0.00607168 0.0173164 0.0228089 0.0336856
0.0968889 0.0112736 0.00517483 0.00172733 0.00609876 0.0178304 0.0229846 0.0342927
0.0977778 0.0114015 0.0052436 0.00169827 0.00615785 0.0183513 0.0231574 0.0349026
0.0986667 0.0113063 0.00531104 0.00167042 0.00599523 0.0188791 0.0233272 0.0355184
0.0995556 0.0114277 0.00537711 0.00164382 0.00605056 0.0194135 0.0234942 0.0361179
0.100444 0.0115045 0.0054418 0.00161848 0.00606268 0.0199545 0.0236586 0.036723
0.101333 0.0115012 0.00550506 0.00159441 0.00599614 0.0205018 0.0238205 0.0373292
0.102222 0.0114803 0.0055669 0.00157161 0.00591338 0.0210554 0.0239799 0.0379288
0.103111 0.0115672 0.00562728 0.0015501 0.00593992 0.0216152 0.0241371 0.0385202
0.104 0.0116157 0.0056862 0.00152986 0.00592948 0.0221808 0.0242921 0.0391142
0.104889 0.0116262 0.00574364 0.00151089 0.00588253 0.0227523 0.0244451 0.0397071
0.105778 0.01167 0.00579959 0.00149318 0.00587044 0.0233295 0.0245962 0.0402954
0.106667 0.0116211 0.00585405 0.00147671 0.00576705 0.0239122 0.0247455 0.0408824
0.107556 0.0115759 0.00590702 0.00146147 0.0056689 0.0245003 0.0248931 0.0414591
0.108444 0.0116816 0.00595849 0.00144744 0.00572312 0.0250936 0.0250393 0.042026
0.109333 0.0116723 0.00600845 0.00143459 0.00566381 0.0256919 0.025184 0.0425983
0.110222 0.0117786 0.00605693 0.00142291 0.0057217 0.0262952 0.0253275 0.0431647
0.111111 0.0116037 0.00610391 0.00141236 0.0054998 0.0269033 0.0254698 0.0437369
0.112 0.0116812 0.00614941 0.00140291 0.00553182 0.0275159 0.025611 0.0442869
0.112889 0.0117012 0.00619343 0.00139453 0.00550774 0.0281331 0.0257513 0.04484
0.113778 0.0116127 0.00623599 0.0013872 0.00537667 0.0287546 0.0258908 0.0453908
0.114667 0.0117832 0.00627709 0.00138088 0.0055061 0.0293802 0.0260295 0.0459285
