# Parameter : Q->GQ gs = 1.66238 P = 300 T = 1 z = 0.25 mDSqr= 4.14527 Qs^2 = 19.6581 q0= 0.777193 q3= 6.87004 muSqr= 0.444905
 t Sum LODeriv NLODeriv NLODeriv2 LOSpect NLOSpect NLOSpect2 
0.056 0.018089 0.0112245 -5.35071e-05 0.00686453 0.0241344 0.0133638 0.0272046
0.0568889 0.0182614 0.0114133 -6.42796e-05 0.00684814 0.0252664 0.0133584 0.027891
0.0577778 0.0182312 0.0115917 -6.54871e-05 0.00663956 0.0264167 0.013352 0.0285759
0.0586667 0.0185159 0.0117596 -5.77942e-05 0.00675624 0.0275844 0.0133455 0.0292398
0.0595556 0.0183625 0.0119173 -4.18943e-05 0.00644521 0.0287683 0.0133397 0.0299154
0.0604444 0.0184389 0.0120649 -1.84963e-05 0.00637401 0.0299675 0.0133355 0.03056
0.0613333 0.0184715 0.0122025 1.16861e-05 0.00626895 0.031181 0.0133336 0.0311974
0.0622222 0.0185704 0.0123304 4.79452e-05 0.00623995 0.0324077 0.0133348 0.0318243
0.0631111 0.018521 0.0124488 8.95871e-05 0.00607218 0.0336467 0.0133396 0.0324483
0.064 0.0184412 0.0125581 0.000135939 0.00588308 0.0348971 0.0133486 0.0330555
0.0648889 0.018466 0.0126585 0.000186357 0.00580751 0.0361581 0.0133622 0.0336438
0.0657778 0.018477 0.0127503 0.000240225 0.00572668 0.0374286 0.0133808 0.0342245
0.0666667 0.0185006 0.0128339 0.000296967 0.00566668 0.0387078 0.0134048 0.0347972
0.0675556 0.0184767 0.0129096 0.000356039 0.00556713 0.0399951 0.0134345 0.0353639
0.0684444 0.0183944 0.0129778 0.00041694 0.00541664 0.0412895 0.0134701 0.0359206
0.0693333 0.0184003 0.0130388 0.000479207 0.00536146 0.0425904 0.0135118 0.0364622
0.0702222 0.0183257 0.013093 0.000542416 0.00523263 0.043897 0.0135597 0.0369984
0.0711111 0.0183115 0.0131408 0.000606182 0.00517078 0.0452088 0.013614 0.0375217
0.072 0.018245 0.0131824 0.000670158 0.00506258 0.046525 0.0136746 0.0380387
0.0728889 0.0182388 0.0132183 0.000734032 0.00502051 0.0478451 0.0137416 0.038545
0.0737778 0.0181934 0.0132487 0.000797528 0.00494472 0.0491685 0.013815 0.039047
0.0746667 0.0181644 0.0132741 0.000860401 0.00489035 0.0504946 0.0138948 0.0395415
0.0755556 0.0179434 0.0132947 0.000922439 0.00464871 0.0518231 0.0139808 0.0400305
0.0764444 0.0180462 0.0133108 0.000983455 0.0047354 0.0531534 0.014073 0.0404954
0.0773333 0.0179177 0.0133228 0.00104329 0.00459494 0.0544851 0.0141714 0.040969
0.0782222 0.0179083 0.0133309 0.00110181 0.0045774 0.0558179 0.0142757 0.0414285
0.0791111 0.0178749 0.0133355 0.0011589 0.0045394 0.0571512 0.0143859 0.0418862
0.08 0.0177132 0.0133367 0.00121447 0.00437649 0.0584848 0.0145018 0.0423401
0.0808889 0.017722 0.0133349 0.00126844 0.00438714 0.0598184 0.0146232 0.0427778
0.0817778 0.0176824 0.0133303 0.00132076 0.00435216 0.0611517 0.0147501 0.0432165
0.0826667 0.0176429 0.0133231 0.00137138 0.00431978 0.0624844 0.0148822 0.0436517
0.0835556 0.0175175 0.0133136 0.00142026 0.00420394 0.0638163 0.0150193 0.0440837
0.0844444 0.0176495 0.0133019 0.0014674 0.00434763 0.0651471 0.0151613 0.0445041
0.0853333 0.0174377 0.0132883 0.00151277 0.00414942 0.0664766 0.0153081 0.0449388
0.0862222 0.0173091 0.013273 0.00155637 0.00403615 0.0678047 0.0154593 0.0453538
0.0871111 0.017348 0.013256 0.00159822 0.00409195 0.0691311 0.015615 0.0457574
0.088 0.0173442 0.0132377 0.00163833 0.00410646 0.0704558 0.0157748 0.0461666
0.0888889 0.0174012 0.0132182 0.0016767 0.00418303 0.0717786 0.0159386 0.0465772
0.0897778 0.0171779 0.0131975 0.00171337 0.0039804 0.0730994 0.0161063 0.0469955
0.0906667 0.0171496 0.0131759 0.00174836 0.00397372 0.0744181 0.0162776 0.0473936
0.0915556 0.0171147 0.0131535 0.00178171 0.00396126 0.0757346 0.0164525 0.047791
0.0924444 0.017131 0.0131304 0.00181344 0.00400068 0.0770488 0.0166306 0.0481871
