# gTb, C(b)/(g^2TC_R), Derivative
1.000000000000000021e-03, 4.661379372748387900e-07, 1.112912676376365479e-03
8.327308255984367663e-03, 2.234669848221519471e-05, 3.304462529892893217e-03
1.565461651196873444e-02, 6.914826833672822672e-05, 5.306284270745208892e-03
2.298192476795310468e-02, 1.373861921865504219e-04, 7.302877635430211206e-03
3.030923302393747146e-02, 2.241695701847734481e-04, 9.294241576975312974e-03
3.763654127992183823e-02, 3.279321439048366862e-04, 1.128037508608334752e-02
4.496384953590620848e-02, 4.479225530880687374e-04, 1.326127719113257865e-02
5.229115779189057178e-02, 5.835385760703042882e-04, 1.523694695817666596e-02
5.961846604787494203e-02, 7.342679709851276243e-04, 1.720738349094470473e-02
6.694577430385931227e-02, 8.996812137370814675e-04, 1.917258593084119472e-02
7.427308255984367558e-02, 1.079424287149803987e-03, 2.113255345694606269e-02
8.160039081582803888e-02, 1.273211501819193408e-03, 2.308728528601465199e-02
8.892769907181241607e-02, 1.480818320360405586e-03, 2.503678067247773475e-02
9.625500732779677937e-02, 1.702074181685862570e-03, 2.698103890844146327e-02
1.035823155837811427e-01, 1.936855357402204533e-03, 2.892005932368745674e-02
1.109096238397655199e-01, 2.185078220070043806e-03, 3.085384128567272843e-02
1.182369320957498832e-01, 2.446693154790700007e-03, 3.278238419952969607e-02
1.255642403517342465e-01, 2.721677446773982864e-03, 3.470568750806621305e-02
1.328915486077186237e-01, 3.010024233392695828e-03, 3.662375069176557196e-02
1.402188568637029731e-01, 3.311729395681066272e-03, 3.853657326878643513e-02
1.475461651196873503e-01, 3.626780566379826740e-03, 4.044415479496291793e-02
1.548734733756717274e-01, 3.955155109393207295e-03, 4.234649486380452632e-02
1.622007816316560769e-01, 4.296823983069571889e-03, 4.424359310649622623e-02
1.695280898876404541e-01, 4.651755795371324831e-03, 4.613544919189836724e-02
1.768553981436248312e-01, 5.019918851457133048e-03, 4.802206282654672420e-02
1.841827063996091807e-01, 5.401281412469814344e-03, 4.990343375465249726e-02
1.915100146555935579e-01, 5.795811698285024960e-03, 5.177956175810227019e-02
1.988373229115779350e-01, 6.203477887893123384e-03, 5.365044665645812144e-02
2.061646311675622845e-01, 6.624248119781036767e-03, 5.551608830695745067e-02
2.134919394235466616e-01, 7.058090492314141214e-03, 5.737648660451317995e-02
2.208192476795310388e-01, 7.504973064118120388e-03, 5.923164148171356641e-02
2.281465559355153883e-01, 7.964863854460832795e-03, 6.108155290882227167e-02
2.354738641914997654e-01, 8.437730843634198147e-03, 6.292622089377850059e-02
2.428011724474841426e-01, 8.923541973336047289e-03, 6.476564548219672368e-02
2.501284807034684921e-01, 9.422265147051991224e-03, 6.659982675736693392e-02
2.574557889594528692e-01, 9.933868230437315275e-03, 6.842876484025449402e-02
2.647830972154372464e-01, 1.045831905169881428e-02, 7.025245988950022669e-02
2.721104054714216236e-01, 1.099558540197669194e-02, 7.207091210142026194e-02
2.794377137274059453e-01, 1.154563503572640475e-02, 7.388412171000631468e-02
2.867650219833903225e-01, 1.210843567110055086e-02, 7.569208898692539322e-02
2.940923302393746996e-01, 1.268395499033072617e-02, 7.749481424151997977e-02
3.014196384953590768e-01, 1.327216064010940978e-02, 7.929229782080793321e-02
3.087469467513434540e-01, 1.387302023197180614e-02, 8.108454010948257240e-02
3.160742550073278312e-01, 1.448650134267773226e-02, 8.287154152991260680e-02
3.234015632633121529e-01, 1.511257151459349454e-02, 8.465330254214219197e-02
3.307288715192965300e-01, 1.575119825607374999e-02, 8.642982364389086014e-02
3.380561797752809072e-01, 1.640234904184335527e-02, 8.820110537055364519e-02
3.453834880312652844e-01, 1.706599131337927303e-02, 8.996714829520086054e-02
3.527107962872496616e-01, 1.774209247929241576e-02, 9.172795302857832123e-02
3.600381045432340388e-01, 1.843061991570951394e-02, 9.348352021910730225e-02
3.673654127992183605e-01, 1.913154096665499806e-02, 9.523385055288437206e-02
3.746927210552027376e-01, 1.984482294443287720e-02, 9.697894475368171174e-02
3.820200293111871148e-01, 2.057043313000857243e-02, 9.871880358294671254e-02
3.893473375671714920e-01, 2.130833877339081278e-02, 1.004534278398023645e-01
3.966746458231558692e-01, 2.205850709401350682e-02, 1.021828183610468538e-01
4.040019540791402464e-01, 2.282090528111758998e-02, 1.039069760211539795e-01
4.113292623351245680e-01, 2.359550049413291356e-02, 1.056259017322729310e-01
4.186565705911089452e-01, 2.438225986306011978e-02, 1.073395964442282191e-01
4.259838788470933224e-01, 2.518115048885248217e-02, 1.090480611445198977e-01
4.333111871030776996e-01, 2.599213944379780844e-02, 1.107512968583233420e-01
4.406384953590620768e-01, 2.681519377190026351e-02, 1.124493046484893455e-01
4.479658036150464540e-01, 2.765028048926231052e-02, 1.141420856155441754e-01
4.552931118710307756e-01, 2.849736658446648183e-02, 1.158296408976895175e-01
4.626204201270151528e-01, 2.935641901895736858e-02, 1.175119716708024203e-01
4.699477283829995300e-01, 3.022740472742338133e-02, 1.191890791484354062e-01
4.772750366389839072e-01, 3.111029061817867022e-02, 1.208609645818164158e-01
4.846023448949682844e-01, 3.200504357354499313e-02, 1.225276292598486971e-01
4.919296531509526060e-01, 3.291163045023357686e-02, 1.241890745091110831e-01
4.992569614069369832e-01, 3.383001807972699920e-02, 1.258453016938576863e-01
5.065842696629213604e-01, 3.476017326866102236e-02, 1.274963122160181206e-01
5.139115779189057376e-01, 3.570206279920651316e-02, 1.291421075151974740e-01
5.212388861748901148e-01, 3.665565342945126953e-02, 1.307826890686760446e-01
5.285661944308744919e-01, 3.762091189378190259e-02, 1.324180583914096876e-01
5.358935026868588691e-01, 3.859780490326574637e-02, 1.340482170360297043e-01
5.432208109428432463e-01, 3.958629914603260802e-02, 1.356731665928428143e-01
5.505481191988276235e-01, 4.058636128765680945e-02, 1.372929086898310169e-01
5.578754274548118897e-01, 4.159795797153891667e-02, 1.389074449926518406e-01
5.652027357107962668e-01, 4.262105581928771203e-02, 1.405167772046382879e-01
5.725300439667806440e-01, 4.365562143110190280e-02, 1.421209070667987240e-01
5.798573522227650212e-01, 4.470162138615219050e-02, 1.437198363578168214e-01
5.871846604787493984e-01, 4.575902224296304194e-02, 1.453135668940517822e-01
5.945119687347337756e-01, 4.682779053979451572e-02, 1.469021005295383098e-01
6.018392769907181528e-01, 4.790789279502420672e-02, 1.484854391559862763e-01
6.091665852467025299e-01, 4.899929550752910035e-02, 1.500635847027812497e-01
6.164938935026869071e-01, 5.010196515706739906e-02, 1.516365391369840221e-01
6.238212017586712843e-01, 5.121586820466043216e-02, 1.532043044633308593e-01
6.311485100146556615e-01, 5.234097109297452394e-02, 1.547668827242335565e-01
6.384758182706400387e-01, 5.347724024670286180e-02, 1.563242759997790499e-01
6.458031265266243048e-01, 5.462464207294730895e-02, 1.578764864077300267e-01
6.531304347826086820e-01, 5.578314296160037655e-02, 1.594235161035243986e-01
6.604577430385930592e-01, 5.695270928572702951e-02, 1.609653672802755231e-01
6.677850512945774364e-01, 5.813330740194655455e-02, 1.625020421687721206e-01
6.751123595505618136e-01, 5.932490365081442146e-02, 1.640335430374784687e-01
6.824396678065461908e-01, 6.052746435720416512e-02, 1.655598721925342076e-01
6.897669760625305679e-01, 6.174095583068930915e-02, 1.670810319777543407e-01
6.970942843185149451e-01, 6.296534436592512995e-02, 1.685970247746292894e-01
7.044215925744993223e-01, 6.420059624303063595e-02, 1.701078530023250046e-01
7.117489008304836995e-01, 6.544667772797030381e-02, 1.716135191176826891e-01
7.190762090864680767e-01, 6.670355507293612707e-02, 1.731140256152191026e-01
7.264035173424523428e-01, 6.797119451672929691e-02, 1.746093750271263678e-01
7.337308255984367200e-01, 6.924956228514221601e-02, 1.760995699232720535e-01
7.410581338544210972e-01, 7.053862459134024876e-02, 1.775846129111990634e-01
7.483854421104054744e-01, 7.183834763624373509e-02, 1.790645066361258864e-01
7.557127503663898516e-01, 7.314869760890969907e-02, 1.805392537809462350e-01
7.630400586223742287e-01, 7.446964068691386274e-02, 1.820088570662293515e-01
7.703673668783586059e-01, 7.580114303673235465e-02, 1.834733192502198684e-01
7.776946751343429831e-01, 7.714317081412379318e-02, 1.849326431288378647e-01
7.850219833903273603e-01, 7.849569016451093950e-02, 1.863868315356787819e-01
7.923492916463117375e-01, 7.985866722336266987e-02, 1.878358873420134800e-01
7.996765999022961147e-01, 8.123206811657590620e-02, 1.892798134567883761e-01
8.070039081582804918e-01, 8.261585896085738012e-02, 1.907186128266251113e-01
8.143312164142647580e-01, 8.401000586410548032e-02, 1.921522884358209393e-01
8.216585246702491352e-01, 8.541447492579228029e-02, 1.935808433063482270e-01
8.289858329262335124e-01, 8.682923223734523299e-02, 1.950042804978550648e-01
8.363131411822178896e-01, 8.825424388252915697e-02, 1.964226031076649059e-01
8.436404494382022667e-01, 8.968947593782800043e-02, 1.978358142707765110e-01
8.509677576941866439e-01, 9.113489447282684119e-02, 1.992439171598640313e-01
8.582950659501710211e-01, 9.259046555059369243e-02, 2.006469149852772860e-01
8.656223742061553983e-01, 9.405615522806129447e-02, 2.020448109950412630e-01
8.729496824621397755e-01, 9.553192955640912865e-02, 2.034376084748564517e-01
8.802769907181241527e-01, 9.701775458144515363e-02, 2.048253107480987600e-01
8.876042989741085298e-01, 9.851359634398773601e-02, 2.062079211758194586e-01
8.949316072300929070e-01, 1.000194208802476364e-01, 2.075854431567453751e-01
9.022589154860771732e-01, 1.015351942222095655e-01, 2.089578801272787001e-01
9.095862237420615504e-01, 1.030608823980144750e-01, 2.103252355614969038e-01
9.169135319980459276e-01, 1.045964514323409894e-01, 2.116875129711530412e-01
9.242408402540303047e-01, 1.061418673467875995e-01, 2.130447159056755302e-01
9.315681485100146819e-01, 1.076970961602543853e-01, 2.143968479521682069e-01
9.388954567659990591e-01, 1.092621038893249741e-01, 2.157439127354103259e-01
9.462227650219834363e-01, 1.108368565486482493e-01, 2.170859139178565045e-01
9.535500732779678135e-01, 1.124213201513203780e-01, 2.184228551996370005e-01
9.608773815339521907e-01, 1.140154607092667000e-01, 2.197547403185570181e-01
9.682046897899365678e-01, 1.156192442336234083e-01, 2.210815730500977072e-01
9.755319980459209450e-01, 1.172326367351195359e-01, 2.224033572074154141e-01
9.828593063019052112e-01, 1.188556042244589273e-01, 2.237200966413417091e-01
9.901866145578895884e-01, 1.204881127127019058e-01, 2.250317952403840527e-01
9.975139228138739655e-01, 1.221301282116473153e-01, 2.263384569307247962e-01
1.004841231069858232e+00, 1.237816167342141727e-01, 2.276400856762219593e-01
1.012168539325842609e+00, 1.254425442948239044e-01, 2.289366854784092575e-01
1.019495847581826986e+00, 1.271128769097817635e-01, 2.302282603764952418e-01
1.026823155837811363e+00, 1.287925805976590787e-01, 2.315148144473642422e-01
1.034150464093795740e+00, 1.304816213796748947e-01, 2.327963518055760073e-01
1.041477772349780118e+00, 1.321799652800779434e-01, 2.340728766033655928e-01
1.048805080605764495e+00, 1.338875783265284225e-01, 2.353443930306435838e-01
1.056132388861748872e+00, 1.356044265504800228e-01, 2.366109053149958730e-01
1.063459697117733249e+00, 1.373304759875617065e-01, 2.378724177216838542e-01
1.070787005373717626e+00, 1.390656926779594016e-01, 2.391289345536442568e-01
1.078114313629702004e+00, 1.408100426667982796e-01, 2.403804601514892558e-01
1.085441621885686381e+00, 1.425634920045242282e-01, 2.416269988935065005e-01
1.092768930141670758e+00, 1.443260067472859343e-01, 2.428685551956590305e-01
1.100096238397655135e+00, 1.460975529573167730e-01, 2.441051335115853038e-01
1.107423546653639512e+00, 1.478780967033163363e-01, 2.453367383325991691e-01
1.114750854909623667e+00, 1.496676040608328206e-01, 2.465633741876898655e-01
1.122078163165608045e+00, 1.514660411126446948e-01, 2.477850456435221338e-01
1.129405471421592422e+00, 1.532733739491422553e-01, 2.490017573044361332e-01
1.136732779677576799e+00, 1.550895686687100150e-01, 2.502135138124473857e-01
1.144060087933561176e+00, 1.569145913781080370e-01, 2.514203198472467760e-01
1.151387396189545553e+00, 1.587484081928543789e-01, 2.526221801262007460e-01
1.158714704445529931e+00, 1.605909852376065095e-01, 2.538190994043510451e-01
1.166042012701514308e+00, 1.624422886465432814e-01, 2.550110824744149518e-01
1.173369320957498685e+00, 1.643022845637470142e-01, 2.561981341667850520e-01
1.180696629213483062e+00, 1.661709391435850780e-01, 2.573802593495294055e-01
1.188023937469467439e+00, 1.680482185510918935e-01, 2.585574629283913795e-01
1.195351245725451816e+00, 1.699340889623508211e-01, 2.597297498467899812e-01
1.202678553981436194e+00, 1.718285165648760493e-01, 2.608971250858195257e-01
1.210005862237420571e+00, 1.737314675579942902e-01, 2.620595936642496349e-01
1.217333170493404948e+00, 1.756429081532269731e-01, 2.632171606385254603e-01
1.224660478749389325e+00, 1.775628045746716899e-01, 2.643698311027676273e-01
1.231987787005373702e+00, 1.794911230593844997e-01, 2.655176101887720130e-01
1.239315095261358080e+00, 1.814278298577614024e-01, 2.666605030660100795e-01
1.246642403517342457e+00, 1.833728912339205874e-01, 2.677985149416286514e-01
