# gTb, C(b)/(g^2TC_R), Derivative
1.451807034684904574e+00, 2.475539438771449385e-01, 2.485746259710993888e-01
1.459134342940888951e+00, 2.496651496941456050e-01, 2.506898582233764161e-01
1.466461651196873328e+00, 2.517819108112077098e-01, 2.528106038765041141e-01
1.473788959452857705e+00, 2.539041897421124849e-01, 2.549368252174338823e-01
1.481116267708842082e+00, 2.560319491653658130e-01, 2.570684847028694708e-01
1.488443575964826460e+00, 2.581651519238389869e-01, 2.592055449588830385e-01
1.495770884220810837e+00, 2.603037610244093303e-01, 2.613479687805322915e-01
1.503098192476795214e+00, 2.624477396376013183e-01, 2.634957191314770131e-01
1.510425500732779591e+00, 2.645970510972269762e-01, 2.656487591435959805e-01
1.517752808988763968e+00, 2.667516589000266669e-01, 2.678070521166034390e-01
1.525080117244748346e+00, 2.689115267053099889e-01, 2.699705615176660745e-01
1.532407425500732723e+00, 2.710766183345965086e-01, 2.721392509810194871e-01
1.539734733756717100e+00, 2.732468977712564362e-01, 2.743130843075852754e-01
1.547062042012701477e+00, 2.754223291601513024e-01, 2.764920254645872877e-01
1.554389350268685854e+00, 2.776028768072750230e-01, 2.786760385851688171e-01
1.561716658524670232e+00, 2.797885051793942979e-01, 2.808650879680090195e-01
1.569043966780654609e+00, 2.819791789036893981e-01, 2.830591380769398313e-01
1.576371275036638986e+00, 2.841748627673953975e-01, 2.852581535405625535e-01
1.583698583292623363e+00, 2.863755217174421275e-01, 2.874620991518646029e-01
1.591025891548607740e+00, 2.885811208600957412e-01, 2.896709398678363745e-01
1.598353199804592117e+00, 2.907916254605988349e-01, 2.918846408090878808e-01
1.605680508060576495e+00, 2.930070009428114020e-01, 2.941031672594652258e-01
1.613007816316560872e+00, 2.952272128888520086e-01, 2.963264846656678553e-01
1.620335124572545249e+00, 2.974522270387376932e-01, 2.985545586368650861e-01
1.627662432828529404e+00, 2.996820092900255306e-01, 3.007873549443123018e-01
1.634989741084513781e+00, 3.019165256974531419e-01, 3.030248395209685919e-01
1.642317049340498158e+00, 3.041557424725788716e-01, 3.052669784611128367e-01
1.649644357596482536e+00, 3.063996259834235736e-01, 3.075137380199605697e-01
1.656971665852466913e+00, 3.086481427541104550e-01, 3.097650846132808389e-01
1.664298974108451290e+00, 3.109012594645060856e-01, 3.120209848170127920e-01
1.671626282364435667e+00, 3.131589429498619070e-01, 3.142814053668824825e-01
1.678953590620420044e+00, 3.154211602004536319e-01, 3.165463131580196210e-01
1.686280898876404422e+00, 3.176878783612229751e-01, 3.188156752445742148e-01
1.693608207132388799e+00, 3.199590647314181080e-01, 3.210894588393334304e-01
1.700935515388373176e+00, 3.222346867642346124e-01, 3.233676313133380109e-01
1.708262823644357553e+00, 3.245147120664556573e-01, 3.256501601954993608e-01
1.715590131900341930e+00, 3.267991083980935074e-01, 3.279370131722162962e-01
1.722917440156326307e+00, 3.290878436720297007e-01, 3.302281580869913524e-01
1.730244748412310685e+00, 3.313808859536562235e-01, 3.325235629400479787e-01
1.737572056668295062e+00, 3.336782034605159097e-01, 3.348231958879468451e-01
1.744899364924279439e+00, 3.359797645619432283e-01, 3.371270252432029824e-01
1.752226673180263816e+00, 3.382855377787053475e-01, 3.394350194739021442e-01
1.759553981436248193e+00, 3.405954917826427564e-01, 3.417471472033179469e-01
1.766881289692232571e+00, 3.429095953963096077e-01, 3.440633772095281206e-01
1.774208597948216948e+00, 3.452278175926151160e-01, 3.463836784250316492e-01
1.781535906204201325e+00, 3.475501274944637342e-01, 3.487080199363649657e-01
1.788863214460185702e+00, 3.498764943743966072e-01, 3.510363709837196478e-01
1.796190522716169857e+00, 3.522068876542313598e-01, 3.533687009605577245e-01
1.803517830972154234e+00, 3.545412769047038837e-01, 3.557049794132303711e-01
1.810845139228138612e+00, 3.568796318451082916e-01, 3.580451760405919948e-01
1.818172447484122989e+00, 3.592219223429380381e-01, 3.603892606936198173e-01
1.825499755740107366e+00, 3.615681184135264847e-01, 3.627372033750284053e-01
1.832827063996091743e+00, 3.639181902196880758e-01, 3.650889742388875314e-01
1.840154372252076120e+00, 3.662721080713585153e-01, 3.674445435902383150e-01
1.847481680508060498e+00, 3.686298424252356654e-01, 3.698038818847107501e-01
1.854808988764044875e+00, 3.709913638844211103e-01, 3.721669597281392905e-01
1.862136297020029252e+00, 3.733566431980591682e-01, 3.745337478761807670e-01
1.869463605276013629e+00, 3.757256512609797316e-01, 3.769042172339300834e-01
1.876790913531998006e+00, 3.780983591133371680e-01, 3.792783388555380220e-01
1.884118221787982383e+00, 3.804747379402524388e-01, 3.816560839438263852e-01
1.891445530043966761e+00, 3.828547590714531101e-01, 3.840374238499065784e-01
1.898772838299951138e+00, 3.852383939809141955e-01, 3.864223300727951949e-01
1.906100146555935515e+00, 3.876256142864993315e-01, 3.888107742590308225e-01
1.913427454811919892e+00, 3.900163917496005661e-01, 3.912027282022909613e-01
1.920754763067904269e+00, 3.924106982747805894e-01, 3.935981638430091079e-01
1.928082071323888647e+00, 3.948085059094120219e-01, 3.959970532679909505e-01
1.935409379579873024e+00, 3.972097868433192569e-01, 3.983993687100308434e-01
1.942736687835857401e+00, 3.996145134084181927e-01, 4.008050825475297230e-01
1.950063996091841778e+00, 4.020226580783580750e-01, 4.032141673041101382e-01
1.957391304347826155e+00, 4.044341934681613959e-01, 4.056265956482348889e-01
1.964718612603810310e+00, 4.068490923338652365e-01, 4.080423403928220560e-01
1.972045920859794688e+00, 4.092673275721614434e-01, 4.104613744948629184e-01
1.979373229115779065e+00, 4.116888722200380268e-01, 4.128836710550378708e-01
1.986700537371763442e+00, 4.141136994544192818e-01, 4.153092033173335640e-01
1.994027845627747819e+00, 4.165417825918069639e-01, 4.177379446686596554e-01
2.001355153883732196e+00, 4.189730950879210214e-01, 4.201698686384653936e-01
2.008682462139716574e+00, 4.214076105373401049e-01, 4.226049488983564251e-01
2.016009770395700951e+00, 4.238453026731422435e-01, 4.250431592617113785e-01
2.023337078651685328e+00, 4.262861453665462985e-01, 4.274844736832991154e-01
2.030664386907669705e+00, 4.287301126265520290e-01, 4.299288662588943155e-01
2.037991695163654082e+00, 4.311771785995808792e-01, 4.323763112248954488e-01
2.045319003419638459e+00, 4.336273175691169879e-01, 4.348267829579410271e-01
2.052646311675622837e+00, 4.360805039553479201e-01, 4.372802559745258555e-01
2.059973619931607214e+00, 4.385367123148053992e-01, 4.397367049306187825e-01
2.067300928187591591e+00, 4.409959173400057608e-01, 4.421961046212783963e-01
2.074628236443575968e+00, 4.434580938590910737e-01, 4.446584299802708307e-01
2.081955544699560345e+00, 4.459232168354699821e-01, 4.471236560796846837e-01
2.089282852955544723e+00, 4.483912613674578829e-01, 4.495917581295501564e-01
2.096610161211529100e+00, 4.508622026879184896e-01, 4.520627114774537492e-01
2.103937469467513477e+00, 4.533360161639036212e-01, 4.545364916081561790e-01
2.111264777723497854e+00, 4.558126772962948214e-01, 4.570130741432087973e-01
2.118592085979482231e+00, 4.582921617194435915e-01, 4.594924348405697856e-01
2.125919394235466608e+00, 4.607744452008125657e-01, 4.619745495942217950e-01
2.133246702491450986e+00, 4.632595036406156330e-01, 4.644593944337880864e-01
2.140574010747435363e+00, 4.657473130714594456e-01, 4.669469455241491151e-01
2.147901319003419740e+00, 4.682378496579835958e-01, 4.694371791650597814e-01
2.155228627259404117e+00, 4.707310896965015146e-01, 4.719300717907660148e-01
2.162555935515388494e+00, 4.732270096146412586e-01, 4.744255999696213588e-01
2.169883243771372872e+00, 4.757255859709866308e-01, 4.769237404037035000e-01
2.177210552027357249e+00, 4.782267954547172462e-01, 4.794244699284314626e-01
2.184537860283341626e+00, 4.807306148852494854e-01, 4.819277655121818049e-01
2.191865168539326003e+00, 4.832370212118779484e-01, 4.844336042559060918e-01
2.199192476795310380e+00, 4.857459915134150763e-01, 4.869419633927468127e-01
2.206519785051294757e+00, 4.882575029978327708e-01, 4.894528202876547440e-01
2.213847093307279135e+00, 4.907715330019026267e-01, 4.919661524370051997e-01
2.221174401563263068e+00, 4.932880589908370528e-01, 4.944819374682148938e-01
2.228501709819247445e+00, 4.958070585579300582e-01, 4.970001531393590799e-01
2.235829018075231822e+00, 4.983285094241974855e-01, 4.995207773387877470e-01
2.243156326331216199e+00, 5.008523894380183528e-01, 5.020437880847424816e-01
2.250483634587200577e+00, 5.033786765747750858e-01, 5.045691635249732743e-01
2.257810942843184954e+00, 5.059073489364946941e-01, 5.070968819363556035e-01
2.265138251099169331e+00, 5.084383847514895027e-01, 5.096269217245058547e-01
2.272465559355153708e+00, 5.109717623739975512e-01, 5.121592614234000695e-01
2.279792867611138085e+00, 5.135074602838236579e-01, 5.146938796949890316e-01
2.287120175867122462e+00, 5.160454570859799306e-01, 5.172307553288156834e-01
2.294447484123106840e+00, 5.185857315103270526e-01, 5.197698672416313226e-01
2.301774792379091217e+00, 5.211282624112141271e-01, 5.223130960758401997e-01
2.309102100635075594e+00, 5.236730287671202966e-01, 5.248597040326551388e-01
2.316429408891059971e+00, 5.262200096802952531e-01, 5.274084602326521987e-01
2.323756717147044348e+00, 5.287691843763997479e-01, 5.299593440192608140e-01
2.331084025403028726e+00, 5.313205322041459899e-01, 5.325123348641674914e-01
2.338411333659013103e+00, 5.338740326349398213e-01, 5.350674123669146853e-01
2.345738641914997480e+00, 5.364296652625198947e-01, 5.376245562545000078e-01
2.353065950170981857e+00, 5.389874098025994043e-01, 5.401837463809746609e-01
2.360393258426966234e+00, 5.415472460925062625e-01, 5.427449627270432009e-01
2.367720566682950611e+00, 5.441091540908240543e-01, 5.453081853996624151e-01
2.375047874938934989e+00, 5.466731138770331011e-01, 5.478733946316401981e-01
2.382375183194919366e+00, 5.492391056511507497e-01, 5.504405707812349835e-01
2.389702491450903743e+00, 5.518071097333725472e-01, 5.530096943317546199e-01
2.397029799706888120e+00, 5.543771065637125295e-01, 5.555807458911553587e-01
2.404357107962872497e+00, 5.569490767016443966e-01, 5.581537061916411746e-01
2.411684416218856875e+00, 5.595230008257415788e-01, 5.607285560892624199e-01
2.419011724474841252e+00, 5.620988597333193004e-01, 5.633052765635155890e-01
2.426339032730825629e+00, 5.646766343400740906e-01, 5.658838487169420839e-01
2.433666340986810006e+00, 5.672563056797248482e-01, 5.684642537747264246e-01
2.440993649242794383e+00, 5.698378549036536844e-01, 5.710464730842972347e-01
2.448320957498778760e+00, 5.724212632805473211e-01, 5.736304881149247858e-01
2.455648265754763138e+00, 5.750065121960364900e-01, 5.762162804573197628e-01
2.462975574010747515e+00, 5.775935831523377750e-01, 5.788038318232343604e-01
2.470302882266731892e+00, 5.801824577678936778e-01, 5.813931240450591620e-01
2.477630190522716269e+00, 5.827731177770144599e-01, 5.839841390754232364e-01
2.484957498778700646e+00, 5.853655450295175422e-01, 5.865768589867939031e-01
2.492284807034685024e+00, 5.879597214903687918e-01, 5.891712659710742761e-01
2.499612115290669401e+00, 5.905556292393235873e-01, 5.917673423392031395e-01
2.506939423546653778e+00, 5.931532504705671061e-01, 5.943650705207541574e-01
2.514266731802638155e+00, 5.957525674923557224e-01, 5.969644330635351936e-01
2.521594040058622532e+00, 5.983535627266571844e-01, 5.995654126331860789e-01
2.528921348314606909e+00, 6.009562187087907903e-01, 6.021679920127793739e-01
2.536248656570591287e+00, 6.035605180870698971e-01, 6.047721541024184688e-01
2.543575964826575664e+00, 6.061664436224412089e-01, 6.073778819188370148e-01
2.550903273082560041e+00, 6.087739781881256196e-01, 6.099851585949973565e-01
2.558230581338544418e+00, 6.113831047692599441e-01, 6.125939673796904072e-01
2.565557889594528351e+00, 6.139938064625365399e-01, 6.152042916371345260e-01
2.572885197850512728e+00, 6.166060664758450383e-01, 6.178161148465748376e-01
2.580212506106497106e+00, 6.192198681279119654e-01, 6.204294206018813318e-01
2.587539814362481483e+00, 6.218351948479425850e-01, 6.230441926111488504e-01
2.594867122618465860e+00, 6.244520301752612967e-01, 6.256604146962960744e-01
2.602194430874450237e+00, 6.270703577589520350e-01, 6.282780707926640673e-01
2.609521739130434614e+00, 6.296901613574992229e-01, 6.308971449486161509e-01
2.616849047386418992e+00, 6.323114248384289482e-01, 6.335176213251363375e-01
2.624176355642403369e+00, 6.349341321779486957e-01, 6.361394841954287616e-01
2.631503663898387746e+00, 6.375582674605897449e-01, 6.387627179445164449e-01
2.638830972154372123e+00, 6.401838148788460137e-01, 6.413873070688411726e-01
2.646158280410356500e+00, 6.428107587328164563e-01, 6.440132361758607038e-01
2.653485588666340877e+00, 6.454390834298443513e-01, 6.466404899836503128e-01
2.660812896922325255e+00, 6.480687734841594771e-01, 6.492690533205004444e-01
2.668140205178309632e+00, 6.506998135165179553e-01, 6.518989111245155899e-01
