# q/gT, DeltaC(q)/gT, C(q), CMin, CMax, 2pisigma/q^3, bbLnbCoef/q^4
8.341801332506336708e-01, -1.741912020485707480e+00, 3.370807808814138440e+00, 3.345993664092778985e+00, 3.386004976947881495e+00, 4.443575509616486841e+00, -3.060533619023205976e+00
8.808092965317061429e-01, -1.673597371831466507e+00, 2.701135366029072227e+00, 2.682604930561200085e+00, 2.715565909236791864e+00, 3.774560778162031838e+00, -2.462118579913797234e+00
9.300449458481390153e-01, -1.600881386842279763e+00, 2.143698970259566572e+00, 2.131400838329323477e+00, 2.157223995911876635e+00, 3.206271399508368702e+00, -1.980709463172464657e+00
9.820327790631256937e-01, -1.523900571274106275e+00, 1.682464332897598336e+00, 1.672882920726703304e+00, 1.694934325594186886e+00, 2.723542391152362185e+00, -1.593428525135578644e+00
1.036926638287343883e+00, -1.442899376620250251e+00, 1.303647958979519572e+00, 1.291073717324088044e+00, 1.315670103961362747e+00, 2.313491976237981529e+00, -1.281871224388991148e+00
1.094888965127686964e+00, -1.358246136597733633e+00, 9.953496707196518578e-01, 9.789662387766260299e-01, 1.007033996709134183e+00, 1.965177829250868369e+00, -1.031231592754822790e+00
1.156091281383574199e+00, -1.270447060666417105e+00, 7.472396313980129712e-01, 7.278780245311187169e-01, 7.583861430626306355e-01, 1.669305076587779046e+00, -8.295986193172723011e-01
1.220714696613318884e+00, -1.180156442268978534e+00, 5.502938370971887094e-01, 5.288992186352854397e-01, 5.641793415547711188e-01, 1.417978259903318605e+00, -6.673902099280936140e-01
1.288950444072537227e+00, -1.088180911534768036e+00, 3.965735534155702124e-01, 3.741717659926959705e-01, 4.137659677340037589e-01, 1.204490643297170260e+00, -5.368978225571549023e-01
1.361000446610551418e+00, -9.954751285484881862e-01, 2.790456121058672023e-01, 2.566952421474149038e-01, 2.986189975888404735e-01, 1.023145241937172045e+00, -4.319201384414556033e-01
1.437077914199375250e+00, -9.031262173405014693e-01, 1.914414318878304710e-01, 1.701721655040617787e-01, 2.123983161224601846e-01, 8.691027962102675364e-01, -3.474683601858465365e-01
1.517407974863493658e+00, -8.123243947187884784e-01, 1.281531989229986179e-01, 1.088936589108396857e-01, 1.494716321597081565e-01, 7.382526345432474102e-01, -2.795291318573374650e-01
1.602228340877476898e+00, -7.243179781674926598e-01, 8.416552864386020461e-02, 6.766685151438844859e-02, 1.048573353772174199e-01, 6.271029788266674343e-01, -2.248738144535651906e-01
1.691790012202836202e+00, -6.403523592807529585e-01, 5.502005216738192761e-02, 4.178468924640366122e-02, 7.419646568508764251e-02, 5.326877652073491731e-01, -1.809050530472256779e-01
1.786358019245736894e+00, -5.615947916092974834e-01, 3.680855327103668001e-02, 2.703665249255171599e-02, 5.374671354099924692e-02, 4.524874937327169611e-01, -1.455333441003080486e-01
1.886212207133517449e+00, -4.890499314131224740e-01, 2.618757063958292511e-02, 1.910560703255304027e-02, 4.038893598319920342e-02, 3.843619946946191801e-01, -1.170777371237363695e-01
1.991648063830856241e+00, -4.234747988088852222e-01, 2.040397266756341366e-02, 1.473850581572805352e-02, 3.163417892931047470e-02, 3.264933175211525151e-01, -9.418595178138083890e-02
2.102977594546134199e+00, -3.653053571763091867e-01, 1.731775505333101040e-02, 1.240025373054426394e-02, 2.561762903884357012e-02, 2.773372181884463106e-01, -7.577011420701676436e-02
2.220530245015534643e+00, -3.146095403673973556e-01, 1.540591206802596758e-02, 1.106575899088207970e-02, 2.106653142952930047e-02, 2.355819505785831380e-01, -6.095505856616810492e-02
2.344653876397055026e+00, -2.710811875217685740e-01, 1.373179960832467475e-02, 1.021422438396030197e-02, 1.723254641933080755e-02, 2.001132621179587123e-01, -4.903673702607290463e-02
2.475715794659341107e+00, -2.340850507254562118e-01, 1.186887058211254578e-02, 9.275324029098558354e-03, 1.378631704896265964e-02, 1.699846595935750326e-01, -3.944876167338894762e-02
2.614103837511490891e+00, -2.027534228770885572e-01, 9.777423758990740413e-03, 8.057840847945085816e-03, 1.075975425034908506e-02, 1.443921516811376704e-01, -3.173548836939135004e-02
2.760227522090272334e+00, -1.761210078990587957e-01, 7.647053765578686393e-03, 6.626307733892805585e-03, 8.223232883714848285e-03, 1.226527941812975003e-01, -2.553036342134825526e-02
2.914519256800990998e+00, -1.532698567798407852e-01, 5.732391701141700130e-03, 4.924405567953871188e-03, 6.048362048772654154e-03, 1.041864654368531012e-01, -2.053850405071350194e-02
3.077435620898061774e+00, -1.334467053778344292e-01, 4.219301098992815635e-03, 3.539630340809063469e-03, 4.443136061002689319e-03, 8.850038560213889516e-02, -1.652268483919996228e-02
3.249458715591842406e+00, -1.161184045096345235e-01, 3.155413928735844448e-03, 2.538142472288312801e-03, 3.397002251802394568e-03, 7.517596665638304199e-02, -1.329206419422958134e-02
3.431097590679882181e+00, -1.009511013051155315e-01, 2.458986274853801855e-03, 1.876405890168436619e-03, 2.745556996177234144e-03, 6.385764224947092227e-02, -1.069311508770961518e-02
3.622889750924289221e+00, -8.773112289809684161e-02, 1.987815152479662124e-03, 1.446195653124232594e-03, 2.280579162566645501e-03, 5.424337930099868560e-02, -8.602329074564816699e-03
3.825402746632876383e+00, -7.627399138463625272e-02, 1.621525904037969881e-03, 1.138272970162043651e-03, 1.873179969006863455e-03, 4.607661815162594765e-02, -6.920346868066230839e-03
4.039235853150906941e+00, -6.637199612770723622e-02, 1.306581463343278911e-03, 8.888380658291505920e-04, 1.550683338271519052e-03, 3.913942618710815335e-02, -5.567236542479856755e-03
4.265021844233418236e+00, -5.780076171262987089e-02, 1.043385708765911385e-03, 6.842829252390672523e-04, 1.260489051192040244e-03, 3.324668223729068672e-02, -4.478694971627028044e-03
4.503428864545838017e+00, -5.035910245586464051e-02, 8.410287338693283286e-04, 5.308509104897246589e-04, 1.013018344570647267e-03, 2.824113655890694852e-02, -3.602991986387257296e-03
4.755162406834012145e+00, -4.389378980603442226e-02, 6.879104193692007346e-04, 4.223623211409011091e-04, 8.480918813798463129e-04, 2.398921457625194029e-02, -2.898512030002085241e-03
5.020967399614465698e+00, -3.828631533243324198e-02, 5.610427431897695855e-04, 3.365803350275711758e-04, 6.883440171305890698e-04, 2.037745240121921139e-02, -2.331776484601873201e-03
5.301630411562775258e+00, -3.342562055570223734e-02, 4.499600691860844957e-04, 2.574785512597793646e-04, 5.652703761683253170e-04, 1.730946901342161198e-02, -1.875852685054532750e-03
5.597981979123284546e+00, -2.920216402038104675e-02, 3.597822830522432163e-04, 1.900264768496216783e-04, 4.721857245427521499e-04, 1.470339430206086574e-02, -1.509074012566476945e-03
5.910899064227987054e+00, -2.552272396115434078e-02, 2.939602620804012290e-04, 1.455286880958431284e-04, 3.850147671918893733e-04, 1.248968433602696063e-02, -1.214010243740053490e-03
6.241307649397461077e+00, -2.231776980823697160e-02, 2.448089687700852075e-04, 1.195063697278474224e-04, 3.240945878547167591e-04, 1.060926556201603928e-02, -9.766392235456113416e-04
6.590185477903262701e+00, -1.953089001961134247e-02, 2.022883197316583705e-04, 9.694588774111431717e-05, 2.667319584704758162e-04, 9.011958408004436261e-03, -7.856804980733002406e-04
6.958564947100448705e+00, -1.710653889086682922e-02, 1.647245668594274435e-04, 7.402423505965469164e-05, 2.226569983706412625e-04, 7.655138225437039395e-03, -6.320592396562489754e-04
7.347536163492154770e+00, -1.499210592172873883e-02, 1.354305952632349399e-04, 5.700575950302530503e-05, 1.852208057070772740e-04, 6.502597836947159732e-03, -5.084749887702632275e-04
7.758250168566790173e+00, -1.314691720440631408e-02, 1.125832716589814184e-04, 4.569443760738152449e-05, 1.550960703269252394e-04, 5.523581336332546513e-03, -4.090547182658579818e-04
8.191922344953681545e+00, -1.153734402377474579e-02, 9.315503304194768918e-05, 3.630513296085970121e-05, 1.292491468970133339e-04, 4.691963357433320304e-03, -3.290737326928006761e-04
8.649836012976679811e+00, -1.013130378418010576e-02, 7.759105190598971583e-05, 2.906865468255484530e-05, 1.085029124987414023e-04, 3.985551910441095282e-03, -2.647311391675281249e-04
9.133346228248624854e+00, -8.902998087031398222e-03, 6.436707214719573130e-05, 2.289245544626061779e-05, 9.149544421724331578e-05, 3.385496181604906885e-03, -2.129692196075735813e-04
9.643883791544459072e+00, -7.828672542743058890e-03, 5.362620368397249789e-05, 1.796882516309598887e-05, 7.674303690910141973e-05, 2.875783493281090265e-03, -1.713281204579287847e-04
1.018295948281904906e+01, -6.888456430435227658e-03, 4.482194986439531946e-05, 1.465405776617315081e-05, 6.441102965851295409e-05, 2.442812000546255684e-03, -1.378289544082205006e-04
1.075216853189892241e+01, -6.065166853559253099e-03, 3.747035055644580212e-05, 1.152348356913118071e-05, 5.446122480366310387e-05, 2.075027721646891237e-03, -1.108797588071840724e-04
1.135319533907761347e+01, -5.343763338083214708e-03, 3.131465201780552930e-05, 9.243428316886223572e-06, 4.561853747129043790e-05, 1.762616216327843061e-03, -8.919984168729971615e-05
1.198781845958377268e+01, -4.711079486463510060e-03, 2.626680491916506171e-05, 7.451007283942878701e-06, 3.852496286783566037e-05, 1.497240684377984347e-03, -7.175892013686279390e-05
1.265791586667202928e+01, -4.155906452429327519e-03, 2.204326724413428491e-05, 6.009545973249645623e-06, 3.241024897798500809e-05, 1.271819495469624084e-03, -5.772815872544106861e-05
1.336547050891114274e+01, -3.668428343393784381e-03, 1.848837853712107177e-05, 4.822199012345044361e-06, 2.734983562600792201e-05, 1.080337213604768863e-03, -4.644078120843655880e-05
1.411257617811453358e+01, -3.240062185045669476e-03, 1.552700916964051304e-05, 3.947404516132201058e-06, 2.301800080861237524e-05, 9.176840732955945197e-04, -3.736038368220771078e-05
1.490144370527747064e+01, -2.863370966655205598e-03, 1.307312735328400744e-05, 3.179158900387495101e-06, 1.941141437007166959e-05, 7.795196238500463849e-04, -3.005544335305482281e-05
1.573440750285609724e+01, -2.531940014693754345e-03, 1.099989971267689975e-05, 2.606213484955457321e-06, 1.633862365144154311e-05, 6.621569030669969495e-04, -2.417881151415700826e-05
1.661393247274790497e+01, -2.240125062981409947e-03, 9.259419772125981711e-06, 2.127333710801818795e-06, 1.375423566527585878e-05, 5.624640494792980871e-04, -1.945121618635885764e-05
1.754262130041591661e+01, -1.983028138788949044e-03, 7.792918880554608636e-06, 1.746800959699992828e-06, 1.157813705428972773e-05, 4.777807276361511167e-04, -1.564799042777349444e-05
1.852322215674120187e+01, -1.756365523341054486e-03, 6.564611655591695116e-06, 1.429148588449544177e-06, 9.732371646294828496e-06, 4.058471362069372007e-04, -1.258839560887772412e-05
1.955863683039509482e+01, -1.556419075821999362e-03, 5.525670180204895706e-06, 1.181125161587746539e-06, 8.170965869844443522e-06, 3.447437044652139761e-04, -1.012703226890712182e-05
2.065192931479627347e+01, -1.379926249616432845e-03, 4.651099990105245956e-06, 9.738461289213011518e-07, 6.856808249486616089e-06, 2.928398679344119287e-04, -8.146930376350731729e-06
2.180633487506327484e+01, -1.224045828458831912e-03, 3.910864019386346268e-06, 8.063177923442032408e-07, 5.747911254958167071e-06, 2.487505562570669943e-04, -6.553990625752103884e-06
2.302526962179329217e+01, -1.086285220400939021e-03, 3.288022958579617195e-06, 6.688909885723109267e-07, 4.808001176490571404e-06, 2.112992321525664009e-04, -5.272512607587449128e-06
2.431234061999786533e+01, -9.644651618375572064e-04, 2.766844931335611353e-06, 5.554913079481660701e-07, 4.011813018329145851e-06, 1.794864951462625828e-04, -4.241597338869935503e-06
2.567135656310992431e+01, -8.566909703605348836e-04, 2.320720859101053609e-06, 4.622040181046123408e-07, 3.350207163219359047e-06, 1.524634122504924308e-04, -3.412253193898131759e-06
2.710633904364836866e+01, -7.612818657288111671e-04, 1.947486784769326897e-06, 3.854549121750858176e-07, 2.822219923500398492e-06, 1.295088639182651806e-04, -2.745067701869633720e-06
2.862153445389272832e+01, -6.767812820944783076e-04, 1.628475015085885174e-06, 3.219741776490977342e-07, 2.370240344835849999e-06, 1.100103007391896537e-04, -2.208334569463603187e-06
3.022142655178379300e+01, -6.018966677979473504e-04, 1.362149295033250108e-06, 2.694633686830573416e-07, 1.991410825123393104e-06, 9.344739736397394796e-05, -1.776546919905292195e-06
3.191074972923552266e+01, -5.355050334309818631e-04, 1.135506066188542921e-06, 2.253727495626261026e-07, 1.658769781312887694e-06, 7.937816745727373994e-05, -1.429185143531756496e-06
3.369450302212159443e+01, -4.766135678662893906e-04, 9.434430116892370617e-07, 1.884975040391373945e-07, 1.376186978701004083e-06, 6.742716915200176221e-05, -1.149741755540449515e-06
3.557796490339494966e+01, -4.243493055729260924e-04, 7.816994466231464366e-07, 1.578863903731880791e-07, 1.136669421288255891e-06, 5.727548626390026955e-05, -9.249369197657499880e-07
3.756670890311595912e+01, -3.779451516796157812e-04, 6.457073941274445237e-07, 1.322829369417976436e-07, 9.330209407983026601e-07, 4.865221791190736466e-05, -7.440873582464713272e-07
3.966662010161198992e+01, -3.367258990999214799e-04, 5.314135908475226032e-07, 1.109811380482447242e-07, 7.613874812239748192e-07, 4.132724944213388548e-05, -5.985986556168977663e-07
4.188391254457479107e+01, -3.000974186872976514e-04, 4.346282782790282387e-07, 9.338464865407463886e-08, 6.150287797699965052e-07, 3.510511174526222372e-05, -4.815568313790218043e-07
4.422514763163044194e+01, -2.675334571664130987e-04, 3.542391448956420962e-07, 7.850290952742585565e-08, 4.888725514393447123e-07, 2.981976510130201284e-05, -3.873997705671712507e-07
4.669725353279708457e+01, -2.385717892945451719e-04, 2.873482439511514759e-07, 6.614976582044128882e-08, 3.869659705435773284e-07, 2.533016835694407767e-05, -3.116528983831883272e-07
4.930754569028749756e+01, -2.128035934148339700e-04, 2.322937872082268476e-07, 5.563912855349240939e-08, 3.044190535557878430e-07, 2.151651519760355472e-05, -2.507165374115814574e-07
5.206374846632574815e+01, -1.898686748166399508e-04, 1.867864889470511924e-07, 4.691503967374477911e-08, 2.504690587260027020e-07, 1.827703707787585940e-05, -2.016948421072145086e-07
5.497401800103735781e+01, -1.694477421366125862e-04, 1.498291249863461610e-07, 3.958498337485513024e-08, 2.109279774770600902e-07, 1.552528749559103533e-05, -1.622581811022371060e-07
5.804696634805439714e+01, -1.512590580707874328e-04, 1.199889836505281537e-07, 3.345784226673484754e-08, 1.776166423984881521e-07, 1.318783513945621434e-05, -1.305324274014474083e-07
6.129168695925734056e+01, -1.350532171478459787e-04, 9.617608751628796730e-08, 2.830744453104954220e-08, 1.494203410823500156e-07, 1.120230435119907783e-05, -1.050098952642531185e-07
6.471778159406794373e+01, -1.206094569373370449e-04, 7.743909140702974031e-08, 2.389201500402620033e-08, 1.250809891890182013e-07, 9.515710611322390758e-06, -8.447769127510409994e-08
6.833538873292303606e+01, -1.077324547232515027e-04, 6.275601180461041031e-08, 2.018891491583198281e-08, 1.050264407968852466e-07, 8.083046630378447868e-06, -6.796007466927889923e-08
7.215521357901013744e+01, -9.624917078680529084e-05, 5.119723768851546056e-08, 1.708141796095215183e-08, 8.772343232909803144e-08, 6.866081315160211500e-06, -5.467208773513293940e-08
7.618855973704604878e+01, -8.600609712249640884e-05, 4.204871360223679850e-08, 1.447227162888504049e-08, 7.311934102944704812e-08, 5.832339559840558308e-06, -4.398225269562945808e-08
8.044736266284185433e+01, -7.686700176449510634e-05, 3.475884695043287729e-08, 1.227026384357122069e-08, 6.075853575377668670e-08, 4.954235637462347356e-06, -3.538256233334041889e-08
8.494422498263800492e+01, -6.871108367716860120e-05, 2.875397687128388390e-08, 1.039418281465278888e-08, 5.016913171239356910e-08, 4.208337066056046053e-06, -2.846433823970843928e-08
8.969245378672714253e+01, -6.143087545200879164e-05, 2.375019616859582724e-08, 8.804189534860305810e-09, 4.138454988125890317e-08, 3.574739305418396173e-06, -2.289880941327623649e-08
9.470610000772238379e+01, -5.493088770684905272e-05, 1.953720107764850229e-08, 7.467109123707833460e-09, 3.394929236104555267e-08, 3.036534598137393399e-06, -1.842148825417130071e-08
1.000000000000000000e+02, -4.912634260398665418e-05, 1.586025173081118104e-08, 6.311573897771699873e-09, 2.766919305466678490e-08, 2.579360780717469789e-06, -1.481960146372599606e-08
