# q/gT, DeltaC(q)/gT, C(q), CMin, CMax, 2pisigma/q^3, bbLnbCoef/q^4
1.000000000000000056e-01, -1.604479398268834789e+00, 2.278887985013646357e+03, 2.278841529476339929e+03, 2.278935946904212869e+03, 2.245948517499415175e+03, -1.410365035962590082e+04
1.055898194433578657e-01, -1.603493735754191407e+00, 1.937183381583777646e+03, 1.937137063696167615e+03, 1.937231217555386820e+03, 1.907803561698926387e+03, -1.134601475350745022e+04
1.114920997008091719e-01, -1.602395682641083896e+00, 1.646756248244433209e+03, 1.646710083502970747e+03, 1.646803944121548511e+03, 1.620568949676315924e+03, -9.127569636533671655e+03
1.177243067676929378e-01, -1.601172501352999822e+00, 1.399903820783804576e+03, 1.399857826395188567e+03, 1.399951360726637631e+03, 1.376579734611823369e+03, -7.342889047805679184e+03
1.243048829569517316e-01, -1.599810078555730763e+00, 1.190081252872314053e+03, 1.190035448474489158e+03, 1.190128619374900381e+03, 1.169324986834067204e+03, -5.907160582218322816e+03
1.312533014735226544e-01, -1.598292813696205350e+00, 1.011727468020424794e+03, 1.011681873755188235e+03, 1.011774641658223914e+03, 9.932740475945324761e+02, -4.752154896653614742e+03
1.385901240393387357e-01, -1.596603212336989763e+00, 8.601172121013826199e+02, 8.600718519664725363e+02, 8.601641713114554477e+02, 8.437289416828544972e+02, -3.822983284010930674e+03
1.463370617394634809e-01, -1.594721978514604510e+00, 7.312353629581646146e+02, 7.311902629398515501e+02, 7.312820838089303379e+02, 7.166990104667144124e+02, -3.075489227028094319e+03
1.545170392694146522e-01, -1.592627762095086164e+00, 6.216701486513665031e+02, 6.216253375407916337e+02, 6.217166047040949479e+02, 6.087944198991857547e+02, -2.474149972123919724e+03
1.631542627737973539e-01, -1.590296803988653362e+00, 5.285224288971868418e+02, 5.284779384855860371e+02, 5.285685908494419891e+02, 5.171357017209096512e+02, -1.990388400897128122e+03
1.722742914769942457e-01, -1.587702859214168427e+00, 4.493286223125316496e+02, 4.492844877795549792e+02, 4.493744577837437078e+02, 4.392769139353533774e+02, -1.601214975268851731e+03
1.819041133178822822e-01, -1.584816906019801852e+00, 3.819952267082641129e+02, 3.819514867068014610e+02, 3.820406999433679403e+02, 3.731403700700356012e+02, -1.288135218166266213e+03
1.920722248123929998e-01, -1.581606800835037685e+00, 3.247431880216641389e+02, 3.246998853048689284e+02, 3.247882595453513090e+02, 3.169611954533390303e+02, -1.036270810546005123e+03
2.028087153802462239e-01, -1.578037114880250780e+00, 2.760606358956210329e+02, 2.760178174395362589e+02, 2.761052622330494160e+02, 2.692402309735430777e+02, -8.336525371291146485e+02
2.141453563853955300e-01, -1.574068775717802904e+00, 2.346627275090266664e+02, 2.346204448940210057e+02, 2.347068608374848964e+02, 2.287040275419406612e+02, -6.706514798922412410e+02
2.261156951536744397e-01, -1.569658712948923007e+00, 1.994575301101316427e+02, 1.994157259928488486e+02, 1.995011178949395401e+02, 1.942708636995802749e+02, -5.395214282326264765e+02
2.387551542458583309e-01, -1.564759572944925736e+00, 1.695170337528171558e+02, 1.694757584480556716e+02, 1.695600183644119454e+02, 1.650218795366854749e+02, -4.340307600140450290e+02
2.521011362799123745e-01, -1.559319385136265668e+00, 1.440525226138667279e+02, 1.440118312648130257e+02, 1.440948410315991737e+02, 1.401765566242199554e+02, -3.491662995767876509e+02
2.661931346126130693e-01, -1.553281163789413721e+00, 1.223936492909568869e+02, 1.223536022153323302e+02, 1.224352326749189075e+02, 1.190718896317923026e+02, -2.808950793169630060e+02
2.810728502080727109e-01, -1.546582636260148469e+00, 1.039706549208600137e+02, 1.039313177710050269e+02, 1.040114283527418735e+02, 1.011446938199080421e+02, -2.259726831601944070e+02
2.967843150390037654e-01, -1.539155813174616583e+00, 8.829926223401173502e+01, 8.826070622640897056e+01, 8.833914436836819561e+01, 8.591657627638296901e+01, -1.817890639408359732e+02
3.133740223858904606e-01, -1.530926746961375207e+00, 7.496783922049554860e+01, 7.493014143918389891e+01, 7.500674206351452256e+01, 7.298116984959052900e+01, -1.462445075498697804e+02
3.308910644196496054e-01, -1.521815271696743688e+00, 6.362649211272163541e+01, 6.358973558918935254e+01, 6.366432087364143655e+01, 6.199328911199734193e+01, -1.176498493631308406e+02
3.493872774749130494e-01, -1.511734715411675811e+00, 5.397779756797456940e+01, 5.394207134334752141e+01, 5.401445054471027163e+01, 5.265971897743222030e+01, -9.464620098944493520e+01
3.689173954438244585e-01, -1.500591795762570513e+00, 4.576892735934583811e+01, 4.573432646287982806e+01, 4.580429611401645218e+01, 4.473139016341493601e+01, -7.614037255658095660e+01
3.895392117442727509e-01, -1.488286598186726595e+00, 3.878495627300825532e+01, 3.875158147160115618e+01, 3.881892577496479646e+01, 3.799673269827279398e+01, -6.125292164343160550e+01
4.113137503418571872e-01, -1.474712663145420821e+00, 3.284317528092535809e+01, 3.281113270479961841e+01, 3.287562448077087396e+01, 3.227603010927239779e+01, -4.927636001607772442e+01
4.343054463316707303e-01, -1.459757280832118198e+00, 2.778825874551940700e+01, 2.775765920230485051e+01, 2.781906130643470121e+01, 2.741662363148432746e+01, -3.964153204918164164e+01
4.585823366142806612e-01, -1.443302013423185093e+00, 2.348815722416784979e+01, 2.345911526348768206e+01, 2.351718265485380144e+01, 2.328883846017113868e+01, -3.189056705271182324e+01
4.842162612301506575e-01, -1.425223525695568316e+00, 1.983060669343383609e+01, 1.980323934405548414e+01, 1.985772191363216166e+01, 1.978252333745088265e+01, -2.565512013213181319e+01
5.112830759482941412e-01, -1.405394664179476116e+00, 1.672016156081384963e+01, 1.669458658832158449e+01, 1.674523291376238276e+01, 1.680411113100714715e+01, -2.063886753428383258e+01
5.398628767382501747e-01, -1.383686085507056296e+00, 1.407567241018868387e+01, 1.405200614291623751e+01, 1.409856826564643306e+01, 1.427412196545521361e+01, -1.660342461480882292e+01
5.700402367896360012e-01, -1.359968291337816604e+00, 1.182814171244400114e+01, 1.180649638443738958e+01, 1.184873576131673190e+01, 1.212504227663242418e+01, -1.335701721432680245e+01
6.019044567806662860e-01, -1.334114288859938657e+00, 9.918900431737760925e+00, 9.899380889966394648e+00, 9.937075702573940461e+00, 1.029952319070261879e+01, -1.074536807934770088e+01
6.355498291362295937e-01, -1.306002482158439504e+00, 8.298057618902467070e+00, 8.280757199480065722e+00, 8.313710915758431241e+00, 8.748850151249405016e+00, -8.644365228250084243e+00
6.710759170575143484e-01, -1.275521346185318317e+00, 6.923180398700010230e+00, 6.908176881346694387e+00, 6.936228243025306384e+00, 7.431642955871156531e+00, -6.954163845070937988e+00
7.085878491488875053e-01, -1.242573345215870262e+00, 5.758172016979254515e+00, 5.745522194416354367e+00, 5.768556540327573146e+00, 6.312751512341560733e+00, -5.594441408612440547e+00
7.481966305138832984e-01, -1.207080744178766096e+00, 4.772315668894966834e+00, 4.762050027559677545e+00, 4.780011534036212595e+00, 5.362317847238299073e+00, -4.500580568946648263e+00
7.900194712408967757e-01, -1.168991705396431158e+00, 3.939460538535563661e+00, 3.931577403711398855e+00, 3.944859133495012937e+00, 4.554979336442250393e+00, -3.620598372233901241e+00
8.341801332506336708e-01, -1.128287075773852788e+00, 3.237328251458614137e+00, 3.231788083221319496e+00, 3.243142221118978874e+00, 3.869191895460172947e+00, -2.912675903075951478e+00
8.808092965317061429e-01, -1.084987668503375691e+00, 2.646921757315159329e+00, 2.643641767366117001e+00, 2.653062262618714584e+00, 3.286655068689685155e+00, -2.343170946940714927e+00
9.300449458481390153e-01, -1.039161811243996869e+00, 2.152021423208228867e+00, 2.148542739727416606e+00, 2.158381476045197367e+00, 2.791823675951042638e+00, -1.885019229495743076e+00
9.820327790631256937e-01, -9.909326806895489836e-01, 1.738755691180407625e+00, 1.734036938345920209e+00, 1.745983692232326412e+00, 2.371492984418405836e+00, -1.516448255816745805e+00
1.036926638287343883e+00, -9.404850417951040598e-01, 1.395235526692913952e+00, 1.388951767802402149e+00, 1.403986939032877190e+00, 2.014446336131847204e+00, -1.219942627951237091e+00
1.094888965127686964e+00, -8.880707287837849018e-01, 1.111243841519279574e+00, 1.103536386599817121e+00, 1.121127835939792039e+00, 1.711155827918343864e+00, -9.814116701865351899e-01
1.156091281383574199e+00, -8.340121280403143267e-01, 8.779725750759950209e-01, 8.692541393189799903e-01, 8.885574165802746505e-01, 1.453528056270479762e+00, -7.895198055304150087e-01
1.220714696613318884e+00, -7.787029962623526202e-01, 6.878012545727270055e-01, 6.785213160187377746e-01, 6.986320113394300924e-01, 1.234688142304159797e+00, -6.351478612500154330e-01
1.288950444072537227e+00, -7.226051376736570830e-01, 5.341126917734264623e-01, 5.247358401279028639e-01, 5.447340006099827825e-01, 1.048796273432798909e+00, -5.109597033850834524e-01
1.361000446610551418e+00, -6.662421207455182515e-01, 4.111396909095178520e-01, 4.021187679792066483e-01, 4.211239513947941937e-01, 8.908918661142798401e-01, -4.110536056431790541e-01
1.437077914199375250e+00, -6.101864190724389791e-01, 3.138421802527328053e-01, 3.055860389145755862e-01, 3.228192958591471484e-01, 7.567611911041361994e-01, -3.306817848704561857e-01
1.517407974863493658e+00, -5.550427929129549964e-01, 2.378083786587420478e-01, 2.306484963253848663e-01, 2.454950657862443597e-01, 6.428249287527885159e-01, -2.660247747346943248e-01
1.602228340877476898e+00, -5.014263924422848184e-01, 1.791784797902779836e-01, 1.733384306531801089e-01, 1.854024596798397595e-01, 5.460426537242503153e-01, -2.140099153038271529e-01
1.691790012202836202e+00, -4.499368495000547474e-01, 1.345870064306022851e-01, 1.301604553463489022e-01, 1.393013667468542827e-01, 4.638317002806940925e-01, -1.721653326989105448e-01
1.786358019245736894e+00, -4.011297311804734034e-01, 1.011202677773022224e-01, 9.806346629338452692e-02, 1.044038351581052515e-01, 3.939982430272278568e-01, -1.385024695759807800e-01
1.886212207133517449e+00, -3.554869730043150877e-01, 7.628543714170143986e-02, 7.426121756612208413e-02, 7.832645410556410281e-02, 3.346787539846893256e-01, -1.114215839967814536e-01
1.991648063830856241e+00, -3.133888053893593151e-01, 5.798715104682704291e-02, 5.652887957585051026e-02, 5.931456722552058691e-02, 2.842902737538440805e-01, -8.963572576257375357e-02
2.102977594546134199e+00, -2.750897389369855728e-01, 4.450771649895272214e-02, 4.349004829818386986e-02, 4.533167489143530293e-02, 2.414881697412226691e-01, -7.210957737968803904e-02
2.220530245015534643e+00, -2.407016843895769254e-01, 3.448670479673713457e-02, 3.378865694647303908e-02, 3.499293954701040987e-02, 2.051302542114386285e-01, -5.801025322928008571e-02
2.344653876397055026e+00, -2.101875132392680423e-01, 2.689565174173668555e-02, 2.642066577270607564e-02, 2.724781059789649351e-02, 1.742463046448216868e-01, -4.666771879699187914e-02
2.475715794659341107e+00, -1.833683509699777781e-01, 2.100374398951373317e-02, 2.057731407378096677e-02, 2.130713387834284878e-02, 1.480121730414302172e-01, -3.754294898709129719e-02
2.614103837511490891e+00, -1.599470259613953727e-01, 1.633136422920117986e-02, 1.595756291942929117e-02, 1.660545132104879196e-02, 1.257277932700039125e-01, -3.020231232597103341e-02
2.760227522090272334e+00, -1.395476153347047776e-01, 1.259095502819059312e-02, 1.225987397663091949e-02, 1.284030372397887421e-02, 1.067984995809781179e-01, -2.429696372943810495e-02
2.914519256800990998e+00, -1.217664362619261392e-01, 9.619343533161947568e-03, 9.316653293293175597e-03, 9.834363538014145867e-03, 9.071915776214760363e-02, -1.954626652748017029e-02
3.077435620898061774e+00, -1.062240259608708132e-01, 7.311550684480282343e-03, 7.027273361609895352e-03, 7.475693326646506986e-03, 7.706068547183297923e-02, -1.572445592040764423e-02
3.249458715591842406e+00, -9.260361528385495367e-02, 5.570211666068668362e-03, 5.302284953540015167e-03, 5.701593296704138281e-03, 6.545860204035684748e-02, -1.264991008104904280e-02
3.431097590679882181e+00, -8.066367477506965200e-02, 4.282715395817745206e-03, 4.035693444356613924e-03, 4.395018233915151673e-03, 5.560330218765037469e-02, -1.017651903942491318e-02
3.622889750924289221e+00, -7.022259534106557732e-02, 3.327734395951780638e-03, 3.108226513734324570e-03, 3.441228826316630740e-03, 4.723179410805381645e-02, -8.186741178099312191e-03
3.825402746632876383e+00, -6.112792447494790754e-02, 2.598497381885067365e-03, 2.409796382408901927e-03, 2.700508136888123134e-03, 4.012068145048153928e-02, -6.586017365813751252e-03
4.039235853150906941e+00, -5.323053318554164803e-02, 2.022236535304418586e-03, 1.861486597363355699e-03, 2.104056086552542892e-03, 3.408020191586454140e-02, -5.298277275313931049e-03
4.265021844233418236e+00, -4.637746579221627141e-02, 1.561893191679559340e-03, 1.422269467456098446e-03, 1.634371101133839932e-03, 2.894916338994928465e-02, -4.262324334554733370e-03
4.503428864545838017e+00, -4.042148876454650097e-02, 1.201926123113087296e-03, 1.077983924122186132e-03, 1.273190340530409859e-03, 2.459064248054999499e-02, -3.428927515285807529e-03
4.755162406834012145e+00, -3.523509851913154967e-02, 9.303436740681664437e-04, 8.207850618678555477e-04, 9.911998600393850944e-04, 2.088833067335453195e-02, -2.758481753667944153e-03
5.020967399614465698e+00, -3.071766366488890704e-02, 7.281831272866246853e-04, 6.334558047488281218e-04, 7.783282891940523918e-04, 1.774343060229163424e-02, -2.219125820361567050e-03
5.301630411562775258e+00, -2.678985120142792983e-02, 5.722017177975373837e-04, 4.912993611168037233e-04, 6.170234777325075970e-04, 1.507201961044884499e-02, -1.785228196651033813e-03
5.597981979123284546e+00, -2.337937060264452804e-02, 4.466720905303099825e-04, 3.771681963005354965e-04, 4.893010786484429386e-04, 1.280281024732698655e-02, -1.436169001719168805e-03
5.910899064227987054e+00, -2.041453287242119344e-02, 3.477227354640745859e-04, 2.873789711610244546e-04, 3.844617381306633663e-04, 1.087524794058966973e-02, -1.155360085264335547e-03
6.241307649397461077e+00, -1.783257499495280451e-02, 2.732198660006664691e-04, 2.209572046795449385e-04, 3.031587983965758348e-04, 9.237895078074195854e-03, -9.294567178543187936e-04
6.590185477903262701e+00, -1.558462489173970643e-02, 2.162704016519470139e-04, 1.716213400588251226e-04, 2.429123263322386511e-04, 7.847058378779385099e-03, -7.477234166064103361e-04
6.958564947100448705e+00, -1.362898365968075176e-02, 1.706307630187910108e-04, 1.323907674757266589e-04, 1.944802224198589197e-04, 6.665622923789297181e-03, -6.015237686723496962e-04
7.347536163492154770e+00, -1.192620327045623013e-02, 1.345104907307606177e-04, 1.014463980774302221e-04, 1.545935431446314456e-04, 5.662061732877873323e-03, -4.839100076870389328e-04
7.758250168566790173e+00, -1.044156777024852351e-02, 1.071347002477421101e-04, 7.875024823490554826e-05, 1.243294099254870638e-04, 4.809594457031631659e-03, -3.892928388457780626e-04
8.191922344953681545e+00, -9.147629208692744512e-03, 8.539033038780930850e-05, 6.118643884111749087e-05, 1.002170177785508681e-04, 4.085472736333434912e-03, -3.131758218867354907e-04
8.649836012976679811e+00, -8.019276745409885387e-03, 6.805744454963728440e-05, 4.716497575531219955e-05, 8.071540352503660254e-05, 3.470373152755410438e-03, -2.519416892055577426e-04
